seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;5;5;5;30;original;10057261,902;32686,652000000067;24575,25;10000000,0;0,0;0,0;0,0;2;197,9328191280365;199,02015328407288;13;19
1;5;5;5;30;original;10050218,062;29209,972000000005;21008,09;10000000,0;0,0;0,0;0,0;2;348,60751605033875;349,51298809051514;12;18
2;5;5;5;30;original;15054890,602;31306,622000000007;23583,98;15000000,0;0,0;0,0;0,0;2;28,201092004776;29,14328908920288;11;22
3;5;5;5;30;original;15046668,162;23974,97200000002;22693,190000000002;15000000,0;1,2379120275510713e-16;1,862645149230957e-09;0,0;2;81,19107985496521;82,03785181045532;9;19
4;5;5;5;30;original;15068703,102;36564,98200000004;32138,120000000003;15000000,0;0,0;0,0;0,0;2;145,14538407325745;146,05733442306519;10;26
5;5;5;5;30;original;15064949,618;35791,648;29157,97;15000000,0;1,236409809831305e-16;1,862645149230957e-09;0,0;2;79,08905982971191;79,93323421478271;10;27
6;5;5;5;30;original;23070973,107;37291,66700000001;33681,44;23000000,0;1,614708786311063e-16;3,725290298461914e-09;0,0;2;42,402575969696045;43,33233571052551;11;26
7;5;5;5;30;original;21053755,222;27619,991999999984;26135,23;21000000,0;0,0;0,0;2,220446049250313e-16;2;64,14227104187012;65,01247024536133;10;24
8;5;5;5;30;original;16053403,72;26139,999999999978;27263,72;16000000,0;1,1602805122943466e-16;1,862645149230957e-09;0,0;2;36,595235109329224;37,508018493652344;10;22
9;5;5;5;30;original;16062276,512;36055,012000000024;26221,5;16000000,0;0,0;0,0;0,0;2;77,73154902458191;78,58503198623657;13;23
10;5;5;5;30;original;16050541,954;25136,673999999974;25405,28;16000000,0;0,0;0,0;0,0;2;63,05168914794922;63,95518088340759;9;21
11;5;5;5;30;original;11055837,739;31556,658999999938;24281,08;11000000,0;0,0;0,0;4,547473508864641e-13;2;166,9790711402893;167,82549691200256;10;23
12;5;5;5;30;original;11051671,658;26065,007999999994;25606,65;11000000,0;0,0;0,0;0,0;2;188,53471398353577;189,44731855392456;9;23
13;5;5;5;30;original;11049777,489;21106,678999999986;28670,809999999998;11000000,0;0,0;0,0;0,0;2;42,0313720703125;42,89896249771118;7;24
14;5;5;5;30;original;11028965,77;13760,000000000011;15205,77;11000000,0;0,0;0,0;0,0;2;38,0722541809082;39,0399169921875;6;11
15;5;5;5;30;original;11034406,937;18981,667;15425,27;11000000,0;0,0;0,0;0,0;2;15,632100820541382;16,47417950630188;7;11
16;5;5;5;30;original;15048783,172;26000,011999999988;22783,16;15000000,0;0,0;0,0;1,1102230246251565e-16;2;21,040481090545654;21,976601123809814;9;22
17;5;5;5;30;original;15049820,331;27131,670999999995;22688,66;15000000,0;0,0;0,0;0,0;2;15,282324075698853;16,147684574127197;10;21
18;5;5;5;30;original;17052636,5;26955,000000000022;25681,5;17000000,0;0,0;0,0;0,0;2;44,475178956985474;45,40188241004944;9;21
