seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;5;20;20;20;benders;12019848,582;8423,332000000002;11425,25;12000000,0;0,0;0,0;0,0;2;13,533804178237915;16,02656865119934;6;5
1;5;20;20;20;benders;33021986,418;11698,328000000003;10288,09;33000000,0;0,0;0,0;0,0;2;5,04956316947937;7,309183359146118;8;6
2;5;20;20;20;benders;22020728,978;10244,998000000003;10483,98;22000000,0;0,0;0,0;0,0;2;11,315131902694702;13,589336633682251;6;6
3;5;20;20;20;benders;20017603,188;6899,9980000000005;10703,19;20000000,0;5,000005174085682e-11;0,0010008811951279404;2,7174883721059473e-07;2;8,280559062957764;10,546482801437378;4;5
4;5;20;20;20;benders;17021376,455;9298,335000000001;12078,12;17000000,0;0,0;0,0;0,0;2;1,8108458518981934;4,064416170120239;5;4
5;5;20;20;20;benders;31018496,305;9298,335000000001;9197,970000000001;31000000,0;0,0;0,0;0,0;2;0,6482741832733154;2,864017963409424;5;4
6;5;20;20;20;benders;37023196,444;11375,004;11821,44;37000000,0;2,0124087903088855e-16;7,4505805969238265e-09;0,0;2;1,8483898639678955;4,072552442550659;6;5
7;5;20;20;20;benders;18019415,234;10420,004;8995,23;18000000,0;0,0;0,0;0,0;2;11,182672023773193;13,4300217628479;5;5
8;5;20;20;20;benders;16022112,056;9358,336000000003;12753,72;16000000,0;1,1625465748340144e-16;1,8626451492309568e-09;0,0;2;21,0953049659729;23,34746265411377;6;6
9;5;20;20;20;benders;30021526,507;11855,007000000003;9671,5;30000000,0;1,2408730440783225e-16;3,7252902984619136e-09;0,0;2;11,888744831085205;14,161420106887817;7;7
10;5;20;20;20;benders;30021598,62;10213,340000000002;11385,28;30000000,0;0,0;0,0;0,0;2;4,75969386100769;7,10997200012207;6;5
11;5;20;20;20;benders;15018651,088;9520,008000000003;9131,08;15000000,0;1,2402213343375575e-16;1,8626451492309568e-09;0,0;2;20,19956088066101;22,555517196655273;6;5
12;5;20;20;20;benders;35019146,652;9840,002;9306,650000000001;35000000,0;2,1275734303189574e-16;7,450580596923828e-09;0,0;2;5,3117148876190186;7,561689615249634;6;5
13;5;20;20;20;benders;16021254,147;9863,337;11390,81;16000000,0;0,0;0,0;0,0;2;5,645605087280273;7,887966632843018;7;4
14;5;20;20;20;benders;12017334,105;7178,335000000002;10155,77;12000000,0;0,0;0,0;0,0;2;3,507220983505249;5,825315952301025;5;4
15;5;20;20;20;benders;20019188,607;8323,337;10865,27;20000000,0;0,0;0,0;0,0;2;5,051223039627075;7,2976295948028564;6;4
16;5;20;20;20;benders;26018543,164;9690,004;8853,16;26000000,0;0,0;0,0;0,0;2;3,6928551197052;6,0747058391571045;5;5
17;5;20;20;20;benders;26025733,666;16205,005999999998;9528,66;26000000,0;0,0;0,0;0,0;2;2,1986069679260254;4,4507880210876465;8;5
18;5;20;20;20;benders;16025974,838;14383,337999999998;11591,5;16000000,0;0,0;0,0;0,0;2;12,124133825302124;14,428406476974487;6;5
19;5;20;20;20;benders;31027760,131;18800,000999999997;8960,130000000001;31000000,0;1,2006313967665222e-16;3,725290298461914e-09;0,0;2;2,4703400135040283;4,839714288711548;8;5
20;5;20;20;20;benders;28030929,19;19056,67;11872,52;28000000,0;0,0;0,0;0,0;2;16,05965805053711;18,40597939491272;8;6
21;5;20;20;20;benders;24020679,903;12505,003;8174,900000000001;24000000,0;1,5508679660631312e-16;3,725290298461914e-09;0,0;2;12,45720911026001;14,768833875656128;6;5
22;5;20;20;20;benders;11019143,842;9850,002;9293,84;11000000,0;0,0;0,0;0,0;2;21,696819067001343;24,03230047225952;5;5
23;5;20;20;20;benders;26020789,19;10060,0;10729,19;26000000,0;0,0;0,0;0,0;2;5,359242916107178;7,6698784828186035;5;5
24;5;20;20;20;benders;12026170,072;13550,001999999999;12620,07;12000000,0;0,0;0,0;0,0;2;10,64736008644104;13,002341985702515;8;5
25;5;20;20;20;benders;27025463,839;13193,338999999998;12270,5;27000000,0;0,0;0,0;0,0;2;5,9412841796875;8,194970607757568;7;6
26;5;20;20;20;benders;19028268,412;18226,672;10041,74;19000000,0;0,0;0,0;0,0;2;4,064358949661255;6,393096923828125;10;5
27;5;20;20;20;benders;14030241,229;16998,338999999993;13242,89;14000000,0;0,0;0,0;0,0;2;35,141616106033325;37,447930335998535;8;7
28;5;20;20;20;benders;39027059,389;14403,338999999994;12656,050000000001;39000000,0;0,0;0,0;7,999999999111822e-07;2;3,4510250091552734;5,719317436218262;7;6
29;5;20;20;20;benders;42026553,378;13398,337999999998;13155,04;42000000,0;0,0;0,0;0,0;2;3,1440110206604004;5,4289774894714355;6;6
30;5;20;20;20;benders;22025326,572;14290,001999999997;11036,57;22000000,0;0,0;0,0;0,0;2;12,39269208908081;14,700682640075684;7;5
