seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;20;20;5;20;original;26023548,58;11353,330000000004;12195,25;26000000,0;0,0;0,0;0,0;2;11,56796908378601;12,94477915763855;9;6
1;20;20;5;20;original;27019893,087;10314,997000000005;9578,09;27000000,0;0,0;0,0;2,220446049250313e-16;2;9,011337041854858;10,429471254348755;8;5
2;20;20;5;20;original;28017423,978;7539,998000000001;9883,98;28000000,0;0,0;0,0;0,0;2;5,927489995956421;7,288587331771851;5;5
3;20;20;5;20;original;18017983,192;7280,002000000001;10703,19;18000000,0;0,0;0,0;0,0;2;9,098702907562256;10,435883283615112;5;5
4;20;20;5;20;original;24018781,455;6703,335000000001;12078,12;24000000,0;0,0;0,0;2,220446049250313e-16;2;1,8526699542999268;3,1803629398345947;5;4
5;20;20;5;20;original;30019076,305;9878,335000000001;9197,970000000001;30000000,0;0,0;0,0;0,0;2;2,3533968925476074;3,7159266471862793;6;4
6;20;20;5;20;original;25019241,444;7420,004000000002;11821,44;25000000,0;0,0;0,0;0,0;2;4,196403980255127;5,565964460372925;5;5
7;20;20;5;20;original;16018145,236;9150,006000000005;8995,23;16000000,0;0,0;0,0;0,0;2;3,657288074493408;4,990502119064331;6;5
8;20;20;5;20;original;30023045,396;10291,676000000003;12753,72;30000000,0;0,0;0,0;0,0;2;7,9115118980407715;9,221381664276123;7;6
9;20;20;5;20;original;22022753,17;14301,67;8451,5;22000000,0;0,0;0,0;4,440892098500626e-16;2;5,65460991859436;6,9849183559417725;10;6
10;20;20;5;20;original;26022120,283;10735,003;11385,28;26000000,0;0,0;0,0;0,0;2;4,935049057006836;6,2805094718933105;8;5
11;20;20;5;20;original;23020481,084;11350,004000000004;9131,08;23000000,0;0,0;0,0;0,0;2;3,937690019607544;5,3140764236450195;8;5
12;20;20;5;20;original;23021086,65;11780,0;9306,650000000001;23000000,0;0,0;0,0;2,220446049250313e-16;2;5,448188066482544;6,787545680999756;8;5
13;20;20;5;20;original;16024152,48;12761,67;11390,81;16000000,0;0,0;0,0;2,220446049250313e-16;2;4,104771137237549;5,436448574066162;8;4
14;20;20;5;20;original;16020019,107;9863,337;10155,77;16000000,0;0,0;0,0;0,0;2;6,46166205406189;7,783707857131958;7;4
15;20;20;5;20;original;16022363,607;11498,337;10865,27;16000000,0;1,1625283228606716e-16;1,862645149230957e-09;0,0;2;1,8350389003753662;3,1505279541015625;7;4
16;20;20;5;20;original;14020824,83;12361,670000000002;8463,16;14000000,0;0,0;0,0;0,0;2;3,8478240966796875;5,222902297973633;7;4
17;20;20;5;20;original;31024186,998;13888,338000000005;10298,66;31000000,0;0,0;0,0;0,0;2;6,041414022445679;7,395496606826782;9;6
18;20;20;5;20;original;24025241,5;13650,0;11591,5;24000000,0;0,0;0,0;0,0;2;5,097103834152222;6,443767309188843;7;5
19;20;20;5;20;original;24025346,796;16386,666000000005;8960,130000000001;24000000,0;0,0;0,0;0,0;2;4,107596158981323;5,491587400436401;9;5
20;20;20;5;20;original;17025052,52;13650,0;11402,52;17000000,0;0,0;0,0;2,220446049250313e-16;2;4,622728109359741;6,003501653671265;7;5
21;20;20;5;20;original;28029069,895;20304,995000000003;8764,900000000001;28000000,0;0,0;0,0;0,0;2;6,942557096481323;8,308657169342041;11;6
22;20;20;5;20;original;19020755,507;11461,667000000001;9293,84;19000000,0;0,0;0,0;0,0;2;6,82103705406189;8,16273832321167;7;5
23;20;20;5;20;original;24022400,855;11671,665000000003;10729,19;24000000,0;0,0;0,0;0,0;2;5,4847211837768555;6,809375286102295;7;5
24;20;20;5;20;original;16025243,41;12623,339999999998;12620,07;16000000,0;0,0;0,0;0,0;2;2,518421173095703;3,8819632530212402;8;5
25;20;20;5;20;original;29032133,836;19403,336;12730,5;29000000,0;0,0;0,0;0,0;2;30,681610107421875;32,03943419456482;11;7
26;20;20;5;20;original;23035831,742;25350,002000000004;10481,74;23000000,0;0,0;0,0;1,1102230246251565e-16;2;17,157436847686768;18,534467935562134;14;6
27;20;20;5;20;original;14031072,892;16240,002000000002;14832,89;14000000,0;0,0;0,0;0,0;2;58,66175198554993;60,007519245147705;8;9
28;20;20;5;20;original;19027767,725;15111,674999999992;12656,050000000001;19000000,0;0,0;0,0;2,220446049250313e-16;2;9,276287078857422;10,651523113250732;8;6
29;20;20;5;20;original;22027420,047;14265,006999999996;13155,04;22000000,0;0,0;0,0;8,881784197001252e-16;2;8,286745071411133;9,673568487167358;7;6
30;20;20;5;20;original;21026804,907;15768,336999999998;11036,57;21000000,0;0,0;0,0;2,220446049250313e-16;2;4,359518051147461;5,7517409324646;8;5
31;20;20;5;20;original;19025362,558;15068,338;10294,220000000001;19000000,0;0,0;0,0;0,0;2;8,656362056732178;10,032505750656128;7;6
32;20;20;5;20;original;20028253,895;14968,335000000001;13285,56;20000000,0;0,0;0,0;0,0;2;8,758648157119751;10,107096195220947;8;6
33;20;20;5;20;original;27021784,046;12220,006000000005;9564,04;27000000,0;0,0;0,0;0,0;2;7,034379959106445;8,426625490188599;6;5
34;20;20;5;20;original;20020094,254;11500,004000000004;8594,25;20000000,0;0,0;0,0;2,220446049250313e-16;2;7,774392127990723;9,1482253074646;6;5
35;20;20;5;20;original;17021692,22;11719,999999999996;9972,220000000001;17000000,0;0,0;0,0;0,0;2;14,260249853134155;15,590738534927368;6;5
36;20;20;5;20;original;17021164,036;9860,006000000001;11304,03;17000000,0;0,0;0,0;0,0;2;12,636880874633789;13,981947898864746;5;5
37;20;20;5;20;original;25027371,328;13973,338;13397,99;25000000,0;0,0;0,0;0,0;2;7,660429954528809;8,98314881324768;8;6
38;20;20;5;20;original;19021249,094;10840,003999999997;10409,09;19000000,0;0,0;0,0;0,0;2;7,79721999168396;9,152778148651123;5;5
39;20;20;5;20;original;29022387,566;11500,006000000001;10887,560000000001;29000000,0;0,0;0,0;0,0;2;7,947337865829468;9,360780715942383;6;5
40;20;20;5;20;original;20023847,426;12776,676000000003;11070,75;20000000,0;0,0;0,0;2,220446049250313e-16;2;18,298105001449585;19,63464856147766;7;6
41;20;20;5;20;original;21021803,694;12480,003999999997;9323,69;21000000,0;1,772107832747567e-16;3,7252902984619132e-09;0,0;2;6,639784097671509;7,971876859664917;6;5
42;20;20;5;20;original;25024589,833;13631,672999999997;10958,16;25000000,0;0,0;0,0;4,440892098500626e-16;2;5,88797402381897;7,220990419387817;8;6
43;20;20;5;20;original;20028381,89;18611,67;9770,220000000001;20000000,0;0,0;0,0;4,440892098500626e-16;2;14,328808069229126;15,678321123123169;9;6
44;20;20;5;20;original;10026391,032;13691,662000000006;12699,37;10000000,0;0,0;0,0;0,0;2;5,726480007171631;7,063528299331665;6;6
45;20;20;5;20;original;11022416,05;10590,0;11826,050000000001;11000000,0;0,0;0,0;0,0;2;5,823477029800415;7,1593639850616455;5;5
46;20;20;5;20;original;37024395,326;12489,996000000005;11905,33;37000000,0;0,0;0,0;0,0;2;5,06410813331604;6,387802600860596;6;5
47;20;20;5;20;original;21022063,946;12489,996000000005;9573,95;21000000,0;0,0;0,0;0,0;2;5,571926832199097;6,892013788223267;6;5
48;20;20;5;20;original;31023231,629;14001,669000000005;9229,96;31000000,0;0,0;0,0;0,0;2;8,048135995864868;9,41061282157898;8;6
49;20;20;5;20;original;24026330,529;15236,669000000005;11093,86;24000000,0;0,0;0,0;2,220446049250313e-16;2;8,069913148880005;9,507627487182617;8;6
50;20;20;5;20;original;24031041,746;19153,335999999996;11888,41;24000000,0;0,0;0,0;4,440892098500626e-16;2;12,789063930511475;14,144301414489746;10;7
51;20;20;5;20;original;31026639,599;14946,669000000005;11692,93;31000000,0;0,0;0,0;0,0;2;7,354904890060425;8,708805322647095;9;6
52;20;20;5;20;original;9025132,436;13199,996000000001;11932,44;9000000,0;2,063842455985603e-16;1,862645149230957e-09;0,0;2;3,1009719371795654;4,41993260383606;6;5
53;20;20;5;20;original;30024446,646;12519,996;11926,65;30000000,0;0,0;0,0;0,0;2;4,920122146606445;6,27883505821228;6;5
54;20;20;5;20;original;22025044,068;14053,337999999994;10990,73;22000000,0;0,0;0,0;2,220446049250313e-16;2;7,510359048843384;8,824826717376709;8;6
55;20;20;5;20;original;28019400,76;11078,329999999998;8322,43;28000000,0;0,0;0,0;0,0;2;1,9332878589630127;3,2626874446868896;6;4
56;20;20;5;20;original;29026925,101;13858,331;13066,77;29000000,0;0,0;0,0;0,0;2;6,6204609870910645;7,951807260513306;7;6
57;20;20;5;20;original;35020641,067;11551,667000000001;9089,400000000001;35000000,0;0,0;0,0;0,0;2;4,109943151473999;5,444140672683716;6;5
