seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;20;5;20;20;fix_work;18015464,753;14024,99299999999;1439,76;18000000,0;0,0;0,0;0,0;2;0,8159618377685547;3,067497968673706;9;6
1;20;5;20;20;fix_work;43033583,365;28919,964999999986;4663,4;43000000,0;1,731340970081409e-16;7,45058059692383e-09;0,0;2;2,6421091556549072;4,8993072509765625;15;16
2;20;5;20;20;fix_work;30032502,171;27164,97099999998;5337,2;30000000,0;0,0;0,0;0,0;2;2,2391068935394287;4,506538391113281;14;16
3;20;5;20;20;fix_work;20043880,128;37499,968;6380,16;20000000,0;0,0;0,0;0,0;2;1,999021053314209;4,246792793273926;17;19
4;20;5;20;20;fix_work;30037401,717;30598,307;6803,41;30000000,0;1,2402172243658296e-16;3,725290298461914e-09;2,886579864025407e-14;2;1,5748670101165771;3,822288990020752;13;19
5;20;5;20;20;fix_work;62035389,372;31024,97199999995;4364,4;62000000,0;0,0;0,0;0,0;2;1,2208020687103271;3,4924802780151367;15;15
6;20;5;20;20;fix_work;53031546,872;27118,301999999952;4428,57;53000000,0;1,4049336737068938e-16;7,45058059692383e-09;0,0;2;1,6266329288482666;3,8778786659240723;14;14
7;20;5;20;20;fix_work;20020378,593;18393,333;1985,26;20000000,0;0,0;0,0;0,0;2;0,7073879241943359;3,0375466346740723;12;8
8;20;5;20;20;fix_work;22020728,02;18503,33000000001;2224,69;22000000,0;1,6917198627940342e-16;3,725290298461914e-09;0,0;2;1,3986048698425293;3,756589889526367;12;8
9;20;5;20;20;fix_work;31026172,056;21859,986000000034;4312,07;31000000,0;0,0;0,0;0,0;2;1,299118995666504;3,6116256713867188;12;13
10;20;5;20;20;fix_work;42034454,242;30969,981999999967;3484,26;42000000,0;1,7724937152816306e-16;7,450580596923828e-09;0,0;2;3,0520260334014893;5,331726312637329;18;11
11;20;5;20;20;fix_work;26026781,039;22474,988999999983;4306,05;26000000,0;4,2939889026765103e-16;1,1175870895385742e-08;0,0;2;2,7843151092529297;5,0422446727752686;12;14
12;20;5;20;20;fix_work;46033445,826;28404,996000000036;5040,83;46000000,0;3,23702927870574e-16;1,4901161193847653e-08;0,0;2;1,6568448543548584;3,977635145187378;15;16
13;20;5;20;20;fix_work;18031332,204;25306,664;6025,54;18000000,0;0,0;0,0;0,0;2;1,5797488689422607;3,865177869796753;12;19
14;20;5;20;20;fix_work;11040266,112;32983,322000000015;7282,79;11000000,0;1,6871379098429443e-16;1,8626451492309568e-09;0,0;2;5,665378093719482;8,004205703735352;16;19
15;20;5;20;20;fix_work;38034324,749;28734,989000000038;5589,76;38000000,0;3,9178193098431276e-16;1,4901161193847656e-08;0,0;2;1,8554840087890625;4,160111904144287;15;16
16;20;5;20;20;fix_work;24028719,654;24454,994;4264,66;24000000,0;0,0;0,0;0,0;2;2,3234519958496094;4,6420464515686035;13;13
17;20;5;20;20;fix_work;52035500,591;28881,66100000001;6618,93;52000000,0;2,8636528955435745e-16;1,4901161193847653e-08;0,0;2;1,6691210269927979;3,962275266647339;14;19
18;20;5;20;20;fix_work;15018560,07;17180,0;1380,07;15000000,0;0,0;0,0;0,0;2;0,14072084426879883;2,5002756118774414;8;5
19;20;5;20;20;fix_work;40018519,51;17139,999999999993;1379,51;40000000,0;1,8617831664317427e-16;7,450580596923827e-09;0,0;2;0,13144397735595703;2,4120683670043945;8;5
20;20;5;20;20;fix_work;21010997,628;9999,998;997,63;21000000,0;0,0;0,0;0,0;2;0,18944191932678223;2,4932239055633545;5;5
21;20;5;20;20;fix_work;30017539,734;16009,994000000006;1529,74;30000000,0;0,0;0,0;0,0;2;0,1687629222869873;2,4381532669067383;8;5
22;20;5;20;20;fix_work;14008096,69;7195,000000000002;901,69;14000000,0;1,3296918135642574e-16;1,862645149230957e-09;0,0;2;0,15380096435546875;2,4492359161376953;4;4
23;20;5;20;20;fix_work;22009366,795;8483,335000000003;883,46;22000000,0;0,0;0,0;0,0;2;0,13353705406188965;2,4278016090393066;5;4
24;20;5;20;20;fix_work;10016838,665;15406,665;1432,0;10000000,0;0,0;0,0;0,0;2;0,13821816444396973;2,544891595840454;9;5
25;20;5;20;20;fix_work;35038040,682;34536,662000000004;3504,02;35000000,0;0,0;0,0;0,0;2;8,947157144546509;11,23791241645813;15;11
26;20;5;20;20;fix_work;21016048,259;14406,668999999996;1641,5900000000001;21000000,0;0,0;0,0;0,0;2;0,19706416130065918;2,531724452972412;8;6
27;20;5;20;20;fix_work;7016463,478;15178,338;1285,1399999999999;7000000,0;0,0;0,0;0,0;2;0,2030341625213623;2,488591432571411;9;6
28;20;5;20;20;fix_work;44032807,47;29561,67000000001;3245,8;44000000,0;0,0;0,0;0,0;2;7,901890993118286;10,208372354507446;13;12
29;20;5;20;20;fix_work;35017064,419;15631,669000000002;1432,75;35000000,0;0,0;0,0;0,0;2;0,20045089721679688;2,508897304534912;9;6
30;20;5;20;20;fix_work;14009700,5;8191,670000000001;1508,83;14000000,0;1,3295395923923977e-16;1,862645149230957e-09;0,0;2;0,15633296966552734;2,402134418487549;4;4
31;20;5;20;20;fix_work;30019078,879;17371,669;1707,21;30000000,0;0,0;0,0;0,0;2;0,21479105949401855;2,4259400367736816;9;7
32;20;5;20;20;fix_work;31036738,433;33876,65299999999;2861,7799999999997;31000000,0;0,0;0,0;0,0;2;13,091998100280762;15,3367280960083;14;11
33;20;5;20;20;fix_work;18009769,698;8559,997999999998;1209,7;18000000,0;0,0;0,0;0,0;2;0,14595699310302734;2,3500335216522217;5;4
34;20;5;20;20;fix_work;21014229,375;13321,664999999994;907,71;21000000,0;0,0;0,0;0,0;2;0,15133190155029297;2,3596136569976807;7;5
35;20;5;20;20;fix_work;27020366,601;17864,99100000001;2501,61;27000000,0;0,0;0,0;0,0;2;0,4729301929473877;2,6868152618408203;11;7
36;20;5;20;20;fix_work;21014984,035;13308,334999999997;1675,7;21000000,0;0,0;0,0;0,0;2;0,16270899772644043;2,400784969329834;7;5
37;20;5;20;20;fix_work;29013907,233;12468,333;1438,9;29000000,0;1,283967122575212e-16;3,7252902984619136e-09;1,4210854715202004e-14;2;0,219404935836792;2,471923828125;9;6
38;20;5;20;20;fix_work;41027705,285;24638,334999999977;3066,95;41000000,0;0,0;0,0;0,0;2;10,384753942489624;12,646974325180054;13;12
39;20;5;20;20;fix_work;49037397,734;31088,353999999985;6309,38;49000000,0;0,0;0,0;0,0;2;17,88746690750122;20,188409328460693;14;19
40;20;5;20;20;fix_work;21036321,557;29310,016999999993;7011,54;21000000,0;0,0;0,0;0,0;2;6,437165021896362;8,761091470718384;13;19
41;20;5;20;20;fix_work;26016743,527;14633,347;2110,1800000000003;26000000,0;1,431881855081453e-16;3,725290298461914e-09;0,0;2;0,3564879894256592;2,6691887378692627;10;7
42;20;5;20;20;fix_work;45017998,259;16673,349;1324,91;45000000,0;0,0;0,0;0,0;2;0,32135796546936035;2,6401236057281494;10;7
43;20;5;20;20;fix_work;21010509,685;9606,675000000001;903,01;21000000,0;0,0;0,0;0,0;2;0,15373897552490234;2,4354939460754395;5;4
44;20;5;20;20;fix_work;18012961,97;11614,999999999998;1346,97;18000000,0;0,0;0,0;0,0;2;0,14381098747253418;2,4434406757354736;6;4
45;20;5;20;20;fix_work;11006537,804;5500,003999999999;1037,8;11000000,0;0,0;0,0;0,0;2;0,15770292282104492;2,432469606399536;3;3
46;20;5;20;20;fix_work;53032296,77;28910,0;3386,77;53000000,0;0,0;0,0;0,0;2;11,050848007202148;13,364723920822144;15;13
47;20;5;20;20;fix_work;25036131,025;31328,32500000001;4802,7;25000000,0;0,0;0,0;0,0;2;2,339322090148926;4,645882606506348;14;15
48;20;5;20;20;fix_work;57036731,818;32178,317999999996;4553,5;57000000,0;0,0;0,0;0,0;2;1,6782889366149902;3,9941532611846924;16;15
49;20;5;20;20;fix_work;25032893,514;29523,32399999998;3370,19;25000000,0;0,0;0,0;0,0;2;2,4287290573120117;4,711142301559448;14;11
50;20;5;20;20;fix_work;29037090,58;30521,659999999996;6568,92;29000000,0;0,0;0,0;0,0;2;1,9127190113067627;4,230727910995483;13;19
51;20;5;20;20;fix_work;30039871,804;36436,65399999995;3435,15;30000000,0;2,480230490175306e-16;7,450580596923828e-09;0,0;2;7,885361909866333;10,165072679519653;16;11
52;20;5;20;20;fix_work;26013057,951;11493,330999999995;1564,62;26000000,0;0,0;0,0;0,0;2;0,19803905487060547;2,510173797607422;7;6
53;20;5;20;20;fix_work;29010099,325;8879,994999999999;1219,33;29000000,0;0,0;0,0;0,0;2;0,14370107650756836;2,4521923065185547;6;4
54;20;5;20;20;fix_work;25031694,05;25550,010000000024;6144,04;25000000,0;0,0;0,0;0,0;2;6,5349180698394775;8,842074871063232;13;19
55;20;5;20;20;fix_work;50022151,956;20463,336000000003;1688,62;50000000,0;0,0;0,0;0,0;2;0,1700301170349121;2,5166404247283936;10;7
56;20;5;20;20;fix_work;32030291,85;25855,010000000028;4436,84;32000000,0;0,0;0,0;0,0;2;1,5289008617401123;3,832883834838867;14;13
57;20;5;20;20;fix_work;48034489,142;28031,672000000035;6457,47;48000000,0;1,551089796104285e-16;7,4505805969238265e-09;0,0;2;1,8083410263061523;4,01086950302124;13;19
58;20;5;20;20;fix_work;25012193,016;10559,996000000003;1633,02;25000000,0;0,0;0,0;0,0;2;0,14706206321716309;2,389970541000366;6;5
59;20;5;20;20;fix_work;22006441,478;5156,668;1284,81;22000000,0;0,0;0,0;0,0;2;0,14383292198181152;2,3841311931610107;3;3
60;20;5;20;20;fix_work;24009601,832;8491,661999999998;1110,17;24000000,0;0,0;0,0;0,0;2;0,14789605140686035;2,390415906906128;5;4
61;20;5;20;20;fix_work;13008738,222;7583,332;1154,8899999999999;13000000,0;0,0;0,0;0,0;2;0,14322900772094727;2,353710889816284;4;3
62;20;5;20;20;fix_work;10008006,75;7160,0;846,75;10000000,0;0,0;0,0;0,0;2;0,14141201972961426;2,373479127883911;4;3
63;20;5;20;20;fix_work;13007667,454;6866,664000000001;800,79;13000000,0;0,0;0,0;0,0;2;0,1441349983215332;2,3553051948547363;4;3
64;20;5;20;20;fix_work;27022852,492;20816,671999999995;2035,82;27000000,0;0,0;0,0;0,0;2;0,12384605407714844;2,366683006286621;10;7
65;20;5;20;20;fix_work;31027172,079;23768,349000000006;3403,73;31000000,0;0,0;0,0;0,0;2;1,141629934310913;3,3798632621765137;11;11
66;20;5;20;20;fix_work;15021339,205;19058,344999999998;2280,86;15000000,0;0,0;0,0;0,0;2;0,16175103187561035;2,4505488872528076;10;8
67;20;5;20;20;fix_work;19028464,171;24405,00099999999;4059,17;19000000,0;0,0;0,0;0,0;2;1,6226191520690918;3,879957914352417;12;14
68;20;5;20;20;fix_work;40040500,211;33138,341;7361,87;40000000,0;0,0;0,0;0,0;2;6,893503904342651;9,164725303649902;14;19
69;20;5;20;20;fix_work;23015325,922;13666,67200000001;1659,25;23000000,0;0,0;0,0;0,0;2;0,3062560558319092;2,5663535594940186;8;7
70;20;5;20;20;fix_work;17010357,169;9031,669;1325,5;17000000,0;0,0;0,0;0,0;2;0,18065404891967773;2,440325975418091;6;5
71;20;5;20;20;fix_work;27005882,115;4664,995000000001;1217,12;27000000,0;0,0;0,0;0,0;2;0,15692782402038574;2,4163620471954346;3;4
72;20;5;20;20;fix_work;14003681,35;2950,0;731,35;14000000,0;0,0;0,0;0,0;2;0,13956189155578613;2,3918182849884033;2;3
73;20;5;20;20;fix_work;31013088,536;11699,996000000003;1388,54;31000000,0;0,0;0,0;0,0;2;0,14252209663391113;2,3723437786102295;6;5
74;20;5;20;20;fix_work;21011390,44;10290,0;1100,44;21000000,0;0,0;0,0;0,0;2;0,18205690383911133;2,4760489463806152;5;5
75;20;5;20;20;fix_work;26013897,123;12523,333;1373,79;26000000,0;0,0;0,0;0,0;2;0,22902297973632812;2,428539991378784;6;5
76;20;5;20;20;fix_work;26005092,174;4360,003999999999;732,1700000000001;26000000,0;0,0;0,0;0,0;2;0,1502060890197754;2,3869330883026123;3;3
77;20;5;20;20;fix_work;18007865,485;6771,665000000001;1093,82;18000000,0;0,0;0,0;0,0;2;0,14416003227233887;2,3759515285491943;4;4
78;20;5;20;20;fix_work;8003402,976;2763,3360000000002;639,64;8000000,0;0,0;0,0;0,0;2;0,14528489112854004;2,381758451461792;2;3
79;20;5;20;20;fix_work;11003686,798;2656,668;1030,13;11000000,0;1,6927464252885736e-16;1,862645149230957e-09;0,0;2;0,14613604545593262;2,346560001373291;2;3
80;20;5;20;20;fix_work;17005557,712;4823,332;734,38;17000000,0;2,19063106400395e-16;3,725290298461914e-09;0,0;2;0,14024806022644043;2,363133668899536;3;3
81;20;5;20;20;fix_work;31019357,752;17486,672000000006;1871,08;31000000,0;0,0;0,0;0,0;2;0,2550230026245117;2,45358943939209;9;7
82;20;5;20;20;fix_work;9011620,05;10855,0;765,05;9000000,0;0,0;0,0;0,0;2;0,18207406997680664;2,4041483402252197;6;4
83;20;5;20;20;fix_work;32011976,41;11055,0;921,4100000000001;32000000,0;1,1637176820167206e-16;3,725290298461914e-09;0,0;2;0,14534497261047363;2,3657877445220947;6;4
84;20;5;20;20;fix_work;10007975,874;7196,664000000002;779,21;10000000,0;0,0;0,0;0,0;2;0,15516209602355957;2,3863308429718018;4;3
85;20;5;20;20;fix_work;7006870,738;6096,668;774,0699999999999;7000000,0;0,0;0,0;0,0;2;0,15156793594360352;2,3509175777435303;4;3
86;20;5;20;20;fix_work;9002740,522;2130,002;610,52;9000000,0;0,0;0,0;0,0;2;0,15667390823364258;2,4565885066986084;2;2
87;20;5;20;20;fix_work;20002724,586;1903,3359999999998;821,25;20000000,0;0,0;0,0;0,0;2;0,15097594261169434;2,3861184120178223;2;3
88;20;5;20;20;fix_work;17006936,178;6176,668;759,51;17000000,0;0,0;0,0;0,0;2;0,1431269645690918;2,358339548110962;4;3
89;20;5;20;20;fix_work;20004946,608;3896,6679999999997;1049,94;20000000,0;0,0;0,0;0,0;2;0,1651768684387207;2,38439679145813;3;3
90;20;5;20;20;fix_work;21007557,28;6416,67;1140,6100000000001;21000000,0;0,0;0,0;0,0;2;0,19255900382995605;2,415703773498535;5;4
91;20;5;20;20;fix_work;14004876,868;3946,6679999999997;930,2;14000000,0;1,329997519283407e-16;1,862645149230957e-09;0,0;2;0,16390585899353027;2,3628156185150146;3;3
92;20;5;20;20;fix_work;10006540,515;5673,335;867,1800000000001;10000000,0;0,0;0,0;0,0;2;0,17109417915344238;2,395707607269287;4;4
93;20;5;20;20;fix_work;33009362,94;8501,670000000002;861,27;33000000,0;1,1285556480545377e-16;3,725290298461914e-09;0,0;2;0,13878083229064941;2,3414957523345947;6;4
94;20;5;20;20;fix_work;25005613,88;4440,0;1173,88;25000000,0;0,0;0,0;0,0;2;0,14865899085998535;2,3616082668304443;4;4
95;20;5;20;20;fix_work;17007710,763;6645,003;1065,76;17000000,0;2,1903537462350447e-16;3,725290298461914e-09;0,0;2;0,15746593475341797;2,374558925628662;5;4
96;20;5;20;20;fix_work;13008952,94;8149,999999999997;802,94;13000000,0;1,4318178855914572e-16;1,862645149230957e-09;0,0;2;0,1597459316253662;2,383312225341797;6;4
97;20;5;20;20;fix_work;20008594,054;7356,664;1237,3899999999999;20000000,0;0,0;0,0;0,0;2;0,1781771183013916;2,3893868923187256;6;4
98;20;5;20;20;fix_work;13005743,114;4976,664000000001;766,45;13000000,0;0,0;0,0;0,0;2;0,16001415252685547;2,383014440536499;4;3
99;20;5;20;20;fix_work;25005051,128;3906,668;1144,46;25000000,0;0,0;0,0;0,0;2;0,15343713760375977;2,3463258743286133;3;3
