seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;5;5;20;10;fix_work;21008621,421;7511,660999999997;1109,76;21000000,0;1,7732197766856575e-16;3,725290298461914e-09;0,0;2;0,03261995315551758;0,5998673439025879;6;5
1;5;5;20;10;fix_work;30023211,707;20978,307000000008;2233,4;30000000,0;2,481606787986211e-16;7,450580596923827e-09;0,0;2;0,025273799896240234;0,577176570892334;12;9
2;5;5;20;10;fix_work;9014053,85;11356,65;2697,2;9000000,0;0,0;0,0;0,0;2;0,027352094650268555;0,5856096744537354;6;9
3;5;5;20;10;fix_work;17019273,474;17003,314000000006;2270,16;17000000,0;4,377731287005835e-16;7,450580596923828e-09;0,0;2;0,04583883285522461;0,5653467178344727;8;9
4;5;5;20;10;fix_work;34023073,391;20239,981000000007;2833,41;34000000,0;2,1898611307979903e-16;7,450580596923828e-09;0,0;2;0,04404616355895996;0,6264865398406982;9;9
5;5;5;20;10;fix_work;17015499,39;13344,990000000005;2154,4;17000000,0;4,3787022797006655e-16;7,450580596923828e-09;0,0;2;0,03978085517883301;0,5840623378753662;6;9
6;5;5;20;10;fix_work;31014335,232;12256,662000000006;2078,5699999999997;31000000,0;2,4023022067667795e-16;7,450580596923828e-09;0,0;2;0,022146940231323242;0,5647470951080322;6;7
7;5;5;20;10;fix_work;17010803,597;9638,337000000001;1165,26;17000000,0;4,3799110103403936e-16;7,4505805969238265e-09;0,0;2;0,01452183723449707;0,5573287010192871;6;5
8;5;5;20;10;fix_work;14008228,021;6573,331;1654,69;14000000,0;1,329679347336887e-16;1,862645149230957e-09;0,0;2;0,02883315086364746;0,5734138488769531;5;6
9;5;5;20;10;fix_work;17011000,407;9608,337000000003;1392,07;17000000,0;0,0;0,0;0,0;2;0,016238927841186523;0,6021804809570312;6;5
10;5;5;20;10;fix_work;26012485,929;10601,669000000002;1884,26;26000000,0;0,0;0,0;0,0;2;0,01799488067626953;0,5555274486541748;6;6
11;5;5;20;10;fix_work;11007956,05;6570,0;1386,05;11000000,0;0,0;0,0;0,0;2;0,01953291893005371;0,5578351020812988;5;5
12;5;5;20;10;fix_work;8018140,82;15829,990000000016;2310,83;8000000,0;0,0;0,0;0,0;2;0,017182111740112305;0,5259640216827393;8;9
13;5;5;20;10;fix_work;39021292,21;19096,670000000013;2195,54;39000000,0;1,9093628567775786e-16;7,450580596923827e-09;0,0;2;0,04321885108947754;0,5911030769348145;10;9
14;5;5;20;10;fix_work;19010716,125;9013,335000000003;1702,79;19000000,0;0,0;0,0;0,0;2;0,024737119674682617;0,5594847202301025;6;6
15;5;5;20;10;fix_work;22022911,427;20071,667000000005;2839,76;22000000,0;0,0;0,0;0,0;2;0,015602827072143555;0,5520989894866943;9;9
16;5;5;20;10;fix_work;20010652,996;8898,336000000003;1754,66;20000000,0;0,0;0,0;0,0;2;0,017116785049438477;0,5550286769866943;5;6
17;5;5;20;10;fix_work;26012568,937;10820,007000000001;1748,93;26000000,0;0,0;0,0;0,0;2;0,025593042373657227;0,5630588531494141;5;6
