seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;20;5;5;30;fix_work;10015464,753;14024,99299999999;1439,76;10000000,0;0,0;0,0;0,0;2;5,0442681312561035;8,241535186767578;9;6
1;20;5;5;30;fix_work;20032278,377;29354,97700000001;2923,4;20000000,0;0,0;0,0;0,0;2;6,268970012664795;9,468073844909668;15;11
2;20;5;5;30;fix_work;28034587,175;31099,97499999995;3487,2;28000000,0;0,0;0,0;0,0;2;3,9462499618530273;7,100948333740234;14;11
3;20;5;5;30;fix_work;23040856,794;31686,633999999987;9170,16;23000000,0;0,0;0,0;0,0;2;3,9166669845581055;7,04876446723938;13;24
4;20;5;5;30;fix_work;18056151,724;42918,31400000005;13233,41;18000000,0;0,0;0,0;0,0;2;3,8600008487701416;7,001080513000488;13;29
5;20;5;5;30;fix_work;18029439,384;24304,983999999993;5134,4;18000000,0;0,0;0,0;0,0;2;6,762801885604858;9,873541355133057;12;17
6;20;5;5;30;fix_work;22025145,223;21846,652999999977;3298,5699999999997;22000000,0;0,0;0,0;0,0;2;0,6272521018981934;3,7425878047943115;11;11
7;20;5;5;30;fix_work;23018598,593;16613,333;1985,26;23000000,0;0,0;0,0;0,0;2;0,45450782775878906;3,5462591648101807;11;8
8;20;5;5;30;fix_work;13018898,016;16673,326;2224,69;13000000,0;0,0;0,0;0,0;2;0,30587100982666016;3,6991770267486572;12;8
9;20;5;5;30;fix_work;12016883,736;14951,666;1932,07;12000000,0;1,5500234421432176e-16;1,8626451492309568e-09;1,4210854715202004e-14;2;0,360645055770874;3,449888229370117;10;7
10;20;5;5;30;fix_work;13018914,257;16529,996999999996;2384,26;13000000,0;0,0;0,0;0,0;2;0,6682209968566895;3,751211404800415;10;8
11;20;5;5;30;fix_work;19023226,038;19989,988000000012;3236,05;19000000,0;1,9582852514186765e-16;3,725290298461914e-09;0,0;2;2,7520740032196045;5,83691143989563;11;11
12;20;5;5;30;fix_work;8038810,813;28269,983000000007;10540,83;8000000,0;0,0;0,0;0,0;2;9,985363960266113;13,076760530471802;11;25
13;20;5;5;30;fix_work;15033408,87;26453,329999999944;6955,54;15000000,0;1,2390038515801752e-16;1,8626451492309568e-09;0,0;2;3,215603828430176;6,338700294494629;11;21
14;20;5;5;30;fix_work;19024224,443;20521,653;3702,79;19000000,0;1,9581824791983265e-16;3,725290298461914e-09;0,0;2;4,437842845916748;7,551455020904541;12;11
15;20;5;5;30;fix_work;8032031,411;28411,650999999965;3619,76;8000000,0;0,0;0,0;0,0;2;4,4585089683532715;7,58463716506958;15;11
16;20;5;5;30;fix_work;23024792,982;21278,322000000004;3514,66;23000000,0;0,0;0,0;0,0;2;5,046890020370483;8,144490480422974;11;11
17;20;5;5;30;fix_work;18024952,249;19233,319000000007;5718,93;18000000,0;0,0;0,0;0,0;2;3,3445498943328857;6,625521421432495;11;17
18;20;5;5;30;fix_work;11018560,07;17180,0;1380,07;11000000,0;0,0;0,0;0,0;2;0,2654380798339844;3,3536155223846436;8;5
19;20;5;5;30;fix_work;7018519,51;17139,999999999993;1379,51;7000000,0;0,0;0,0;0,0;2;0,2927420139312744;3,375227689743042;8;5
20;20;5;5;30;fix_work;15012127,626;11129,996;997,63;15000000,0;1,2407602677217986e-16;1,8626451492309568e-09;0,0;2;0,3651590347290039;3,458744525909424;6;5
21;20;5;5;30;fix_work;11016809,736;15279,996000000005;1529,74;11000000,0;0,0;0,0;0,0;2;0,348391056060791;3,4253993034362793;7;5
22;20;5;5;30;fix_work;10008096,69;7195,000000000002;901,69;10000000,0;0,0;0,0;0,0;2;0,3194282054901123;3,3963687419891357;4;4
23;20;5;5;30;fix_work;10009366,795;8483,335000000003;883,46;10000000,0;0,0;0,0;0,0;2;0,25601792335510254;3,327596426010132;5;4
24;20;5;5;30;fix_work;10016838,665;15406,665;1432,0;10000000,0;0,0;0,0;0,0;2;0,28333091735839844;3,3585243225097656;9;5
25;20;5;5;30;fix_work;16027644,02;25070,000000000007;2574,02;16000000,0;0,0;0,0;0,0;2;5,042431831359863;8,124388694763184;12;8
26;20;5;5;30;fix_work;15016048,259;14406,668999999996;1641,5900000000001;15000000,0;0,0;0,0;0,0;2;0,428743839263916;3,5232298374176025;8;6
27;20;5;5;30;fix_work;11016463,478;15178,338;1285,1399999999999;11000000,0;0,0;0,0;0,0;2;0,4086141586303711;3,488568067550659;9;6
28;20;5;5;30;fix_work;21027444,133;25438,333;2005,8;21000000,0;0,0;0,0;0,0;2;3,8933210372924805;6,980162143707275;12;8
29;20;5;5;30;fix_work;26017064,419;15631,669000000002;1432,75;26000000,0;0,0;0,0;0,0;2;0,3401610851287842;3,4368274211883545;9;6
30;20;5;5;30;fix_work;10009700,5;8191,670000000001;1508,83;10000000,0;0,0;0,0;0,0;2;0,30490612983703613;3,3832178115844727;4;4
31;20;5;5;30;fix_work;13019078,879;17371,669;1707,21;13000000,0;0,0;0,0;0,0;2;0,49749302864074707;3,5910301208496094;9;7
32;20;5;5;30;fix_work;19021066,771;19194,991000000005;1871,78;19000000,0;0,0;0,0;0,0;2;0,9325830936431885;4,014134883880615;9;8
33;20;5;5;30;fix_work;6009769,698;8559,997999999998;1209,7;6000000,0;1,5496809718439206e-16;9,313225746154785e-10;0,0;2;0,3108980655670166;3,4675099849700928;5;4
34;20;5;5;30;fix_work;21014229,375;13321,664999999994;907,71;21000000,0;0,0;0,0;0,0;2;0,273892879486084;3,434418201446533;7;5
35;20;5;5;30;fix_work;22020746,605;18714,995000000003;2031,6100000000001;22000000,0;0,0;0,0;0,0;2;0,2758619785308838;3,425351858139038;11;6
36;20;5;5;30;fix_work;21014984,035;13308,334999999997;1675,7;21000000,0;0,0;0,0;0,0;2;0,32120394706726074;3,4724459648132324;7;5
37;20;5;5;30;fix_work;17013907,233;12468,333;1438,9;17000000,0;0,0;0,0;1,4210854715202004e-14;2;0,36106085777282715;3,5171821117401123;9;6
38;20;5;5;30;fix_work;25020576,956;18680,005999999994;1896,95;25000000,0;0,0;0,0;0,0;2;0,6316399574279785;3,7956714630126953;10;8
39;20;5;5;30;fix_work;28027099,396;24140,015999999996;2959,38;28000000,0;2,6583487972312854e-16;7,45058059692383e-09;0,0;2;1,9437479972839355;5,092538356781006;12;11
40;20;5;5;30;fix_work;13035273,228;27461,688000000016;7811,54;13000000,0;0,0;0,0;0,0;2;4,166537046432495;7,32479190826416;12;21
41;20;5;5;30;fix_work;21016496,856;14676,676;1820,18;21000000,0;0,0;0,0;0,0;2;0,3925011157989502;3,5547797679901123;10;6
42;20;5;5;30;fix_work;11017004,924;15840,014000000001;1164,91;11000000,0;0,0;0,0;0,0;2;0,31879591941833496;3,4749789237976074;9;6
43;20;5;5;30;fix_work;13010509,685;9606,675000000001;903,01;13000000,0;1,4316465644527568e-16;1,862645149230957e-09;0,0;2;0,3208189010620117;3,4780640602111816;5;4
