seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;4;4;4;10;gcg_scip;6008301,421;7191,660999999997;1109,76;6000000,0;0,0;0,0;0,0;2;114,88;116,44554138183594;6;5
1;4;4;4;10;gcg_scip;7012556,72;10323,319999999998;2233,4;7000000,0;0,0;0,0;0,0;2;121,5;121,85234475135803;6;9
2;4;4;4;10;gcg_scip;10016913,86;14216,660000000007;2697,2;10000000,0;0,0;0,0;0,0;2;28,4;28,72847580909729;6;9
3;4;4;4;10;gcg_scip;10016451,817;14181,657000000005;2270,16;10000000,0;0,0;0,0;0,0;2;42,26;42,60080671310425;6;9
4;4;4;4;10;gcg_scip;10016051,73;13218,319999999996;2833,41;10000000,0;0,0;0,0;0,0;2;94,43;94,79075741767883;6;9
5;4;4;4;10;gcg_scip;10014521,06;12366,66;2154,4;10000000,0;0,0;0,0;0,0;2;7,56;7,898345470428467;5;9
6;4;4;4;10;gcg_scip;10011046,898;8968,328000000001;2078,5699999999997;10000000,0;0,0;0,0;0,0;2;213,14;213,46621942520142;4;7
7;4;4;4;10;gcg_scip;12012605,26;10419,999999999998;2185,26;12000000,0;0,0;0,0;0,0;2;35,5;35,83370852470398;4;9
8;4;4;4;10;gcg_scip;8009044,69;7670,000000000002;1374,69;8000000,0;0,0;0,0;0,0;2;60,37;60,708327770233154;5;5
9;4;4;4;10;gcg_scip;6006700,405;5568,335;1132,07;6000000,0;0,0;0,0;0,0;2;50,7;51,02668046951294;5;4
10;4;4;4;10;gcg_scip;9009779,26;7745,000000000001;2034,26;9000000,0;0,0;0,0;0,0;2;68,5;68,84191918373108;5;7
11;4;4;4;10;gcg_scip;7010952,718;9566,668000000001;1386,05;7000000,0;0,0;0,0;0,0;2;118,39;118,73204565048218;5;5
12;4;4;4;10;gcg_scip;8015850,83;13540,00000000001;2310,83;8000000,0;0,0;0,0;0,0;2;3,89;4,220184087753296;6;9
13;4;4;4;10;gcg_scip;8016595,54;14400,000000000007;2195,54;8000000,0;0,0;0,0;0,0;2;6,81;7,139242649078369;6;9
14;4;4;4;10;gcg_scip;8013982,788;11069,998;2912,79;8000000,0;0,0;0,0;0,0;2;7,45;7,77576208114624;6;9
15;4;4;4;10;gcg_scip;8014299,758;11459,998000000003;2839,76;8000000,0;0,0;0,0;0,0;2;14,68;15,024784088134766;6;9
16;4;4;4;10;gcg_scip;8010652,996;8898,336000000003;1754,66;8000000,0;0,0;0,0;0,0;2;214,25;214,57886028289795;5;6
17;4;4;4;10;gcg_scip;8008827,27;7078,340000000001;1748,93;8000000,0;0,0;0,0;0,0;2;58,96;59,302382469177246;4;6
18;4;4;4;10;gcg_scip;8014833,406;13033,335999999998;1800,07;8000000,0;0,0;0,0;0,0;2;106,04;106,38316679000854;5;6
19;4;4;4;10;gcg_scip;7016921,176;15541,665999999997;1379,51;7000000,0;0,0;0,0;0,0;2;129,43;129,7690348625183;5;5
20;4;4;4;10;gcg_scip;7005087,628;4089,998;997,63;7000000,0;0,0;0,0;0,0;2;99,55;99,93573808670044;2;5
21;4;4;4;10;gcg_scip;6007081,406;5761,666;1319,74;6000000,0;0,0;0,0;0,0;2;43,25;43,61501169204712;3;4
22;4;4;4;10;gcg_scip;7009086,691;8185,000999999998;901,69;7000000,0;0,0;0,0;0,0;2;88,32;88,65636563301086;4;4
23;4;4;4;10;gcg_scip;6007590,126;6706,666000000002;883,46;6000000,0;0,0;0,0;0,0;2;64,64;64,98669862747192;4;4
24;4;4;4;10;gcg_scip;7005695,334;4263,334;1432,0;7000000,0;0,0;0,0;0,0;2;86,11;86,47124600410461;3;5
25;4;4;4;10;gcg_scip;6011804,018;10149,998;1654,02;6000000,0;0,0;0,0;7,10543e-15;2;75,93;76,33340644836426;6;5
26;4;4;4;10;gcg_scip;8012481,59;9939,999999999998;2541,59;8000000,0;0,0;0,0;0,0;2;111,44;111,80329871177673;5;9
27;4;4;4;10;gcg_scip;8013330,137;11414,997000000007;1915,1399999999999;8000000,0;0,0;0,0;0,0;2;492,25;492,5910475254059;6;9
28;4;4;4;10;gcg_scip;6012507,467;11211,667000000003;1295,8;6000000,0;0,0;0,0;0,0;2;70,77;71,14222288131714;6;5
29;4;4;4;10;gcg_scip;6012606,088;11343,338;1262,75;6000000,0;0,0;0,0;0,0;2;71,33;71,69053959846497;5;5
30;4;4;4;10;gcg_scip;6009943,833;8435,003;1508,83;6000000,0;0,0;0,0;2,66454e-15;2;73,44;73,79477834701538;4;4
31;4;4;4;10;gcg_scip;7008455,545;7278,335000000001;1177,21;7000000,0;0,0;0,0;0,0;2;51,47;51,79519844055176;4;5
32;4;4;4;10;gcg_scip;None;None;None;None;None;None;None;3;None;84,53355765342712;None;None
33;4;4;4;10;gcg_scip;7009064,696;7694,995999999998;1369,7;7000000,0;0,0;0,0;0,0;2;95,35;95,71461987495422;4;5
34;4;4;4;10;gcg_scip;7009916,038;9008,327999999998;907,71;7000000,0;0,0;0,0;0,0;2;165,11;165,46965742111206;5;5
35;4;4;4;10;gcg_scip;8009131,603;7099,992999999999;2031,6100000000001;8000000,0;0,0;0,0;0,0;2;337,6;337,9660167694092;4;6
36;4;4;4;10;gcg_scip;7010532,362;8856,661999999997;1675,7;7000000,0;0,0;0,0;0,0;2;205,38;205,74643898010254;4;5
37;4;4;4;10;gcg_scip;7007968,896;6749,996;1218,9;7000000,0;0,0;0,0;0,0;2;50,11;50,43722057342529;4;5
38;4;4;4;10;gcg_scip;9011785,282;10388,332000000002;1396,95;9000000,0;0,0;0,0;0,0;2;45,34;45,70282483100891;5;6
39;4;4;4;10;gcg_scip;None;None;None;None;None;None;None;3;None;127,07844686508179;None;None
40;4;4;4;10;gcg_scip;8010866,543;8565,003000000004;2301,54;8000000,0;0,0;0,0;0,0;2;153,0;153,34241604804993;5;7
41;4;4;4;10;gcg_scip;9014603,52;11723,340000000006;2880,1800000000003;9000000,0;0,0;0,0;0,0;2;8,14;8,520046472549438;6;9
42;4;4;4;10;gcg_scip;9012098,258;10483,348000000002;1614,91;9000000,0;5,89;53081258,73961999;0,0;2;600,01;600,3491139411926;6;8
43;4;4;4;10;gcg_scip;7009909,685;9006,675000000001;903,01;7000000,0;0,0;0,0;0,0;2;109,05;109,40641522407532;4;4
44;4;4;4;10;gcg_scip;6007590,305;6243,334999999999;1346,97;6000000,0;0,0;0,0;0,0;2;91,14;91,52774477005005;3;4
45;4;4;4;10;gcg_scip;5007351,138;6313,338;1037,8;5000000,0;0,0;0,0;0,0;2;16,96;17,309215545654297;3;3
46;4;4;4;10;gcg_scip;8012168,434;10781,663999999993;1386,77;8000000,0;0,0;0,0;0,0;2;27,4;27,7296040058136;4;6
47;4;4;4;10;gcg_scip;None;None;None;None;None;None;None;3;None;160,4938850402832;None;None
48;4;4;4;10;gcg_scip;None;None;None;None;None;None;None;3;None;81,63749575614929;None;None
49;4;4;4;10;gcg_scip;9018298,518;16378,328000000003;1920,19;9000000,0;0,0;0,0;0,0;2;216,12;216,4693706035614;8;7
50;4;4;4;10;gcg_scip;8015468,912;13949,992;1518,92;8000000,0;0,0;0,0;0,0;2;81,98;82,36639499664307;5;6
51;4;4;4;10;gcg_scip;10015918,48;13283,330000000004;2635,15;10000000,0;0,0;0,0;0,0;2;499,64;500,0375394821167;7;9
52;4;4;4;10;gcg_scip;10011967,951;9813,330999999995;2154,62;10000000,0;0,0;0,0;0,0;2;597,42;597,7612566947937;5;8
53;4;4;4;10;gcg_scip;7006332,66;4793,330000000001;1539,33;7000000,0;0,0;0,0;0,0;2;118,35;118,69223928451538;3;5
54;4;4;4;10;gcg_scip;None;None;None;None;None;None;None;3;None;240,5061297416687;None;None
55;4;4;4;10;gcg_scip;9010835,29;9146,669999999998;1688,62;9000000,0;0,0;0,0;0,0;2;146,36;146,71776223182678;5;7
56;4;4;4;10;gcg_scip;9010556,838;8279,998;2276,84;9000000,0;0,0;0,0;0,0;2;213,71;214,06721591949463;4;7
57;4;4;4;10;gcg_scip;10018717,464;16719,994000000006;1997,47;10000000,0;0,0;0,0;0,0;2;175,77;176,1292233467102;6;8
58;4;4;4;10;gcg_scip;None;None;None;None;None;None;None;3;None;45,569602966308594;None;None
59;4;4;4;10;gcg_scip;6007376,478;5811,668;1564,81;6000000,0;0,0;0,0;0,0;2;26,75;27,130104541778564;3;4
60;4;4;4;10;gcg_scip;5009421,834;8311,663999999999;1110,17;5000000,0;0,0;0,0;0,0;2;16,63;16,95482635498047;4;4
