seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;20;5;20;40;fix_work;28018188,089;16478,328999999987;1709,76;28000000,0;1,3295971483339676e-16;3,725290298461914e-09;1,1175870895385742e-07;2;6,062901973724365;16,737719535827637;11;7
1;20;5;20;40;fix_work;27041013,366;38089,96599999997;2923,4;27000000,0;1,3776444869281065e-16;3,725290298461914e-09;0,0;2;7,145814895629883;10,919344663619995;19;11
2;20;5;20;40;fix_work;28055868,822999913;48521,622999999934;7347,2;27999999,999999914;1,327811418696098e-16;3,7252902984619136e-09;1,0658141036401503e-14;2;123,558434009552;134,32636260986328;19;20
3;20;5;20;40;fix_work;43062396,795;54566,63499999997;7830,16;43000000,0;1,7301825145480335e-16;7,450580596923828e-09;0,0;2;178,74917721748352;189,48004364967346;19;22
4;20;5;20;40;fix_work;38066860,057;58206,646999999975;8653,41;38000000,0;0,0;0,0;0,0;2;23,404489994049072;28,633394718170166;19;22
5;20;5;20;40;fix_work;36057977,696;45523,295999999995;12454,4;36000000,0;0,0;0,0;0,0;2;28,498645067214966;36,80234956741333;16;29
6;20;5;20;40;fix_work;23056153,554;49174,98399999999;6978,57;23000000,0;0,0;0,0;0,0;2;25,90018892288208;29,669983386993408;22;19
7;20;5;20;40;fix_work;38030641,914;27646,653999999977;2995,26;38000000,0;1,959099353035398e-16;7,450580596923828e-09;7,450580596923828e-09;2;3,5399410724639893;7,358144998550415;15;11
8;20;5;20;40;fix_work;39031548,006;28513,31599999997;3034,69;39000000,0;0,0;0,0;0,0;2;5,3898351192474365;9,243072271347046;16;11
9;20;5;20;40;fix_work;49030587,058999844;27184,98899999998;3402,0699999999997;48999999,99999984;0,0;0,0;2,1316282072803006e-14;2;14,48491621017456;20,185340881347656;16;11
10;20;5;20;40;fix_work;23034454,242;30969,981999999967;3484,26;23000000,0;0,0;0,0;0,0;2;157,76684594154358;161,56566452980042;18;11
11;20;5;20;40;fix_work;33034339,376;31103,325999999986;3236,05;33000000,0;1,1277023754161706e-16;3,7252902984619136e-09;3,725290298461914e-09;2;9,823522090911865;13,669087171554565;16;11
12;20;5;20;40;fix_work;33057105,835;47185,00500000003;9920,83;33000000,0;0,0;0,0;0,0;2;218,97616624832153;224,60530495643616;18;24
13;20;5;20;40;fix_work;37045802,21;35856,670000000035;9945,54;37000000,0;0,0;0,0;2,8688162956314045e-13;2;43,02829122543335;51,10781168937683;14;26
14;20;5;20;40;fix_work;15034262,771999922;30559,98199999997;3702,79;14999999,999999922;0,0;0,0;1,0658141036401503e-14;2;32,960684061050415;43,79031038284302;17;11
15;20;5;20;40;fix_work;41053313,083;46113,32300000002;7199,76;41000000,0;0,0;0,0;7,450580596923828e-09;2;20,639445781707764;24,41669774055481;20;19
16;20;5;20;40;fix_work;37036894,641;33379,98099999997;3514,66;37000000,0;4,0233289908036745e-16;1,4901161193847656e-08;0,0;2;22,552466869354248;30,56392240524292;16;11
17;20;5;20;40;fix_work;13035958,917999974;32619,987999999976;3338,9300000000003;12999999,999999974;0,0;0,0;3,552713678800501e-15;2;35,829368114471436;46,335508823394775;16;11
18;20;5;20;40;fix_work;35018560,07;17180,0;1380,07;35000000,0;0,0;0,0;0,0;2;0,1683948040008545;4,052090883255005;8;5
19;20;5;20;40;fix_work;35018519,51;17139,999999999993;1379,51;35000000,0;0,0;0,0;0,0;2;0,15579891204833984;3,967755079269409;8;5
20;20;5;20;40;fix_work;20012127,626;11129,996;997,63;20000000,0;1,8615163605202932e-16;3,7252902984619132e-09;3,725290298461914e-09;2;0,21192407608032227;4,193419456481934;6;5
21;20;5;20;40;fix_work;21016809,735999905;15279,996000000005;1529,74;20999999,999999903;None;None;None;3;0,2955470085144043;10,126857995986938;7;5
