seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;20;20;5;50;original;8038499,75;35199,990000000034;3299,76;8000000,0;0,0;0,0;0,0;2;496,83220505714417;505,93566513061523;18;13
1;20;20;5;50;original;18041560,053;37596,65300000002;3963,4;18000000,0;0,00016982951243029053;3063,9893472827966;0,0;9;600,019504070282;609,4603230953217;19;14
2;20;20;5;50;original;29041305,508;36748,308;4557,2;29000000,0;0,0;0,0;0,0;2;292,87592792510986;302,25869941711426;20;14
3;20;20;5;50;original;18039036,803;35106,64299999999;3930,16;18000000,0;2,0651270570291067e-16;3,7252902984619136e-09;0,0;2;351,8826460838318;361,17645740509033;17;14
4;20;20;5;50;original;21035910,058;31406,648000000012;4503,41;21000000,0;0,0;0,0;0,0;2;283,9378719329834;293,3507971763611;16;14
5;20;20;5;50;original;23038149,385;34284,984999999986;3864,4;23000000,0;0,0;0,0;0,0;2;313,0685980319977;322,39468336105347;16;14
6;20;20;5;50;original;17027640,234;24341,664;3298,5699999999997;17000000,0;0,0;0,0;0,0;2;323,2057099342346;332,54908323287964;13;11
7;20;20;5;50;original;27026790,27;23795,010000000006;2995,26;27000000,0;0,0;0,0;0,0;2;395,71720600128174;405,05208253860474;14;11
8;20;20;5;50;original;31030386,359;27351,669000000013;3034,69;31000000,0;1,2005297824406357e-16;3,725290298461914e-09;0,0;2;390,89463782310486;400,24963641166687;16;11
9;20;20;5;50;original;22026175,406;22773,33599999999;3402,0699999999997;22000000,0;0,0;0,0;0,0;2;253,98058819770813;263,1696865558624;13;11
10;20;20;5;50;original;21028890,931;25406,671;3484,26;21000000,0;0,0;0,0;0,0;2;552,9559102058411;562,3242015838623;15;11
11;20;20;5;50;original;16030929,381;27693,330999999984;3236,05;16000000,0;0,0;0,0;0,0;2;424,68329882621765;434,07370805740356;16;11
12;20;20;5;50;original;21035037,491;31256,660999999975;3780,83;21000000,0;1,7709929445363754e-16;3,725290298461914e-09;0,0;2;416,90109300613403;426,1261384487152;17;13
13;20;20;5;50;original;25065427,193;62201,65299999998;3225,54;25000000,0;0,19837884883349796;4972450,592067196;0,0;9;600,1816492080688;609,4903693199158;22;12
14;20;20;5;50;original;26038816,119;34333,32899999998;4482,79;26000000,0;1,4306680770112448e-16;3,7252902984619132e-09;0,0;2;531,233537197113;540,6842665672302;18;13
