seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;20;20;5;60;fix_work;21038499,75;35199,990000000034;3299,76;21000000,0;8,474413758538743e-05;1782,889517404139;0,0;2;600,0415539741516;630,5037889480591;18;13
1;20;20;5;60;fix_work;7041666,719;37703,31900000002;3963,4;7000000,0;0,003038425531326883;21395,579942104403;0,0;2;600,0084090232849;631,6432008743286;19;14
2;20;20;5;60;fix_work;23040108,846;35551,64599999999;4557,2;23000000,0;0,0;0,0;0,0;2;509,35987091064453;540,5597400665283;17;14
3;20;20;5;60;fix_work;15039036,803;35106,64299999999;3930,16;15000000,0;0,0;0,0;0,0;2;324,1173059940338;355,28061747550964;17;14
4;20;20;5;60;fix_work;33037783,398;33699,988000000005;4083,41;33000000,0;2,2551696362822154e-16;7,450580596923827e-09;0,0;2;359,59460282325745;390,0504698753357;17;13
5;20;20;5;60;fix_work;28039019,389;35154,988999999994;3864,4;28000000,0;1,328609337858436e-16;3,7252902984619136e-09;0,0;2;437,30337405204773;468,46120858192444;17;14
6;20;20;5;60;fix_work;20027640,234;24341,664;3298,5699999999997;20000000,0;0,0;0,0;0,0;2;26,65463900566101;57,80836606025696;13;11
7;20;20;5;60;fix_work;19026410,268;23415,008000000013;2995,26;19000000,0;0,0;0,0;0,0;2;25,212599992752075;56,590014934539795;12;11
8;20;20;5;60;fix_work;17030009,69;26975,000000000015;3034,69;17000000,0;0,0;0,0;0,0;2;334,4220700263977;365,0625238418579;16;11
9;20;20;5;60;fix_work;27026175,406;22773,33599999999;3402,0699999999997;27000000,0;0,0;0,0;0,0;2;355,3037450313568;385,851735830307;13;11
10;20;20;5;60;fix_work;17028890,931;25406,671;3484,26;17000000,0;0,0;0,0;0,0;2;361,58842396736145;392,3098928928375;15;11
11;20;20;5;60;fix_work;17030929,381;27693,330999999984;3236,05;17000000,0;0,0;0,0;0,0;2;306,5488739013672;338,12426805496216;16;11
12;20;20;5;60;fix_work;13036374,159;32593,32900000001;3780,83;13000000,0;0,0010437220334789969;13606,350946424527;0,0;2;600,2848749160767;631,3153643608093;16;13
13;20;20;5;60;fix_work;17040432,203;37206,663;3225,54;17000000,0;0,0006926627168643532;11803,272066272797;0,0;2;600,0149569511414;631,1183815002441;18;12
14;20;20;5;60;fix_work;20037762,783;33279,99299999999;4482,79;20000000,0;3,3691753978297216e-05;675,1073739603162;0,0;2;600,04101395607;631,2091388702393;17;13
15;20;20;5;60;fix_work;14039203,084;34393,32399999999;4809,76;14000000,0;0,0011124993607608718;15618,60445654206;0,0;2;600,0220022201538;631,0468904972076;16;14
16;20;20;5;60;fix_work;27037757,982;33863,321999999986;3894,66;27000000,0;0,0001439027712172019;3890,8083011098206;0,0;2;600,019152879715;631,0976192951202;17;12
17;20;20;5;60;fix_work;31040115,587;36066,65699999998;4048,9300000000003;31000000,0;2,400306975675125e-16;7,450580596923828e-09;0,0;2;530,7497289180756;561,7794041633606;18;13
18;20;20;5;60;fix_work;25037761,727;34451,65699999999;3310,0699999999997;25000000,0;0,0;0,0;0,0;2;449,5562129020691;480,53141832351685;17;11
19;20;20;5;60;fix_work;28038472,829;35453,31900000002;3019,51;28000000,0;1,328635236726899e-16;3,7252902984619136e-09;0,0;2;398,0811560153961;429,00414204597473;16;11
20;20;20;5;60;fix_work;23039290,953;36563,32300000003;2727,63;23000000,0;0,0004948516297630795;11401,030676677823;0,0;2;600,2667369842529;631,6477649211884;14;11
21;20;20;5;60;fix_work;19043274,721;38784,98099999997;4489,74;19000000,0;0,0002705538276231606;5152,230866245925;0,0;2;600,0177597999573;630,9255056381226;18;14
22;20;20;5;60;fix_work;18040328,341;37526,65099999998;2801,69;18000000,0;0,0007483629729207127;13500,713749736547;0,0;2;600,3680908679962;631,1757771968842;16;11
23;20;20;5;60;fix_work;17037571,768;33468,30799999995;4103,46;17000000,0;0,00013807873829852448;2352,526413396001;0,0;2;600,0103631019592;631,051150560379;15;14
24;20;20;5;60;fix_work;13040825,325;36653,325;4172,0;13000000,0;0,0004984546447378957;6500,259954461828;0,0;2;600,0396499633789;631,0974242687225;17;13
25;20;20;5;60;fix_work;12044615,672;40051,65199999997;4564,02;12000000,0;0,0;0,0;0,0;2;346,12551188468933;376,80330061912537;18;14
26;20;20;5;60;fix_work;22042368,251;38246,66100000003;4121,59;22000000,0;1,6900590063832673e-16;3,7252902984619132e-09;0,0;2;493,0504870414734;524,0704352855682;16;13
27;20;20;5;60;fix_work;21044035,142;40940,002000000015;3095,14;21000000,0;1,7702357334629818e-16;3,7252902984619136e-09;0,0;2;354,50361609458923;385,33161783218384;18;13
28;20;20;5;60;fix_work;18044187,463;40941,663;3245,8;18000000,0;0,0011385376602742285;20543,986975673586;0,0;2;600,0728690624237;631,1971113681793;17;12
29;20;20;5;60;fix_work;27042407,746;39294,996;3112,75;27000000,0;0,0;0,0;0,0;2;399,9685580730438;430,456946849823;16;12
30;20;20;5;60;fix_work;21033007,157;29308,326999999997;3698,83;21000000,0;0,0;0,0;0,0;2;438,201865196228;468,6730635166168;12;11
31;20;20;5;60;fix_work;16038795,529;35538,31899999998;3257,21;16000000,0;0,0;0,0;0,0;2;451,7861371040344;482,4132764339447;16;12
32;20;20;5;60;fix_work;16046041,757;42069,97699999996;3971,7799999999997;16000000,0;0,0;0,0;0,0;2;586,2764341831207;617,2973303794861;17;14
33;20;20;5;60;fix_work;26049906,35;45916,64999999999;3989,7;26000000,0;1,4300589984508384e-16;3,725290298461914e-09;0,0;2;395,79145216941833;426,88620924949646;19;13
34;20;20;5;60;fix_work;26045834,366;42526,65600000001;3307,71;26000000,0;0,0;0,0;0,0;2;373,4011449813843;404,912015914917;17;13
35;20;20;5;60;fix_work;25043264,934;38823,323999999964;4441,610000000001;25000000,0;0,0;0,0;0,0;2;221,58848214149475;252,7046456336975;17;13
