seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;5;5;20;40;original;21008621,421;7511,660999999997;1109,76;21000000,0;1,7732197766856575e-16;3,725290298461914e-09;0,0;2;26,66619610786438;29,914507150650024;6;5
1;5;5;20;40;original;14053755,007;47501,60699999993;6253,4;14000000,0;0,0;0,0;5,684341886080802e-14;2;154,9679958820343;158,19763588905334;16;19
2;5;5;20;40;original;25057652,149;43074,94899999998;14577,2;25000000,0;0,0;0,0;0,0;2;162,92508387565613;166,2176787853241;12;30
3;5;5;20;40;original;43062496,798;54156,63799999998;8340,16;43000000,0;1,7301784965868174e-16;7,450580596923828e-09;0,0;2;147,58059191703796;150,83468532562256;16;23
4;5;5;20;40;original;25064801,715;55698,304999999964;9103,41;25000000,0;0,0;0,0;4,409805853811122e-13;2;134,2465569972992;137,4885127544403;15;23
5;5;5;20;40;original;17054639,384;41124,98400000007;13514,4;17000000,0;0,0;0,0;0,0;2;98,10763192176819;101,4104585647583;12;30
6;5;5;20;40;original;10049650,228;37561,658000000025;12088,57;10000000,0;0,0;0,0;0,0;2;142,24210691452026;145,47759795188904;13;27
7;5;5;20;40;original;22010803,597;9638,337000000001;1165,26;22000000,0;1,6924826401929543e-16;3,7252902984619132e-09;0,0;2;24,577104091644287;27,81581163406372;6;5
8;5;5;20;40;original;20012416,356;10761,666000000001;1654,69;20000000,0;0,0;0,0;0,0;2;67,47698593139648;70,7393410205841;7;6
9;5;5;20;40;original;32009703,739;8041,669000000002;1662,07;32000000,0;0,0;0,0;0,0;2;31,76642918586731;35,0166449546814;6;6
10;5;5;20;40;original;14012485,929;10601,669000000002;1884,26;14000000,0;0,0;0,0;0,0;2;112,25208115577698;115,5423092842102;6;6
11;5;5;20;40;original;19015092,719;13496,669000000002;1596,05;19000000,0;0,0;0,0;0,0;2;66,7460150718689;69,98116827011108;8;6
12;5;5;20;40;original;22059544,172;49623,342;9920,83;22000000,0;0,0;0,0;0,0;2;206,06904315948486;209,31200075149536;15;24
