seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;2;4;4;15;AL;5009281,418;8331,657999999996;949,76;5000000,0;None;None;0;2;357,8374810218811;357,8374831676483;6;4
1;2;4;4;15;AL;6012161,723;10828,322999999997;1333,4;6000000,0;None;None;0;2;478,6270041465759;478,62700629234314;5;5
2;2;4;4;15;AL;10025265,517;22168,317000000003;3097,2;10000000,0;None;None;0;2;206,1140856742859;206,1140878200531;8;10
3;2;4;4;15;AL;10017996,816;15946,65600000001;2050,16;10000000,0;None;None;0;2;369,42523074150085;369,4252326488495;5;8
4;2;4;4;15;AL;10020798,392;16294,981999999998;4503,41;10000000,0;None;None;0;2;285,86464381217957;285,8646459579468;6;14
5;2;4;4;15;AL;10022129,382;18264,982;3864,4;10000000,0;None;None;0;2;284,79491329193115;284,79491543769836;6;14
6;2;4;4;15;AL;14017698,564;14399,993999999995;3298,5699999999997;14000000,0;None;None;0;2;283,064169883728;283,06417202949524;5;11
7;2;4;4;15;AL;15020508,592;16403,332000000002;4105,26;15000000,0;None;None;0;2;249,69177627563477;249,6917781829834;7;14
8;2;4;4;15;AL;7009644,687;8269,997000000001;1374,69;7000000,0;None;None;0;2;413,7856147289276;413,78561639785767;4;5
9;2;4;4;15;AL;6008663,738;7531,668;1132,07;6000000,0;None;None;0;2;418,063636302948;418,0636386871338;5;4
10;2;4;4;15;AL;8014099,262;12215,001999999999;1884,26;8000000,0;None;None;0;2;441,5624349117279;441,56243681907654;5;6
11;2;4;4;15;AL;7008596,052;7210,002000000001;1386,05;7000000,0;None;None;0;2;462,4598581790924;462,4598605632782;4;5
12;2;4;4;15;AL;8026895,834;22725,00399999998;4170,83;8000000,0;None;None;8,570000000000004;2;218,61776852607727;218,6177704334259;8;14
13;2;4;4;15;AL;8026540,55;22635,010000000035;3905,54;8000000,0;None;None;7,1;2;222,64534068107605;222,64534330368042;8;14
14;2;4;4;15;AL;8023987,795;19065,004999999997;4922,79;8000000,0;None;None;0;2;225,92568111419678;225,92568349838257;8;14
15;2;4;4;15;AL;8018024,756;14404,996000000016;3619,76;8000000,0;None;None;0;2;322,28765201568604;322,28765416145325;7;11
16;2;4;4;15;AL;10018044,667;14830,007000000007;3214,66;10000000,0;None;None;0;2;342,4774537086487;342,4774558544159;6;10
17;2;4;4;15;AL;8014748,936;13000,006000000005;1748,93;8000000,0;None;None;0;2;428,22432374954224;428,22432589530945;5;6
18;2;4;4;15;AL;8015026,739;13226,668999999998;1800,07;8000000,0;None;None;0;2;320,5715630054474;320,5715653896332;5;6
19;2;4;4;15;AL;7017269,511;15890,000999999998;1379,51;7000000,0;None;None;0;2;402,2525658607483;402,2525677680969;4;5
20;2;4;4;15;AL;6006102,63;5355,0;747,63;6000000,0;None;None;0;2;469,32097816467285;469,32098054885864;3;4
21;2;4;4;15;AL;6011336,409;10016,669000000004;1319,74;6000000,0;None;None;0;2;457,1729073524475;457,17290925979614;3;4
