seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;4;4;2;15;benders;5007471,422;6521,661999999999;949,76;5000000,0;inf;inf;0;2;0,7715387344360352;2,6378893852233887;6;4
1;4;4;2;15;benders;6009225,061;7891,661000000003;1333,4;6000000,0;inf;inf;0;2;1,2699487209320068;2,572892427444458;5;5
2;4;4;2;15;benders;11019208,843;15721,643000000005;3487,2;11000000,0;inf;inf;0;2;3,3396425247192383;4,6320648193359375;7;11
3;4;4;2;15;benders;11019140,147;16869,987000000016;2270,16;11000000,0;inf;inf;0;2;2,6905133724212646;4,098333835601807;6;9
4;4;4;2;15;benders;10021215,066;16711,656000000003;4503,41;10000000,0;inf;inf;0;2;1,5445024967193604;2,8886945247650146;6;14
5;4;4;2;15;benders;10018559,391;14694,991;3864,4;10000000,0;inf;inf;0;2;2,061630964279175;3,373650550842285;5;14
6;4;4;2;15;benders;14018136,897;14838,326999999996;3298,5699999999997;14000000,0;inf;inf;0;2;0,6010949611663818;1,971299409866333;6;11
7;4;4;2;15;benders;17020128,597;16023,337000000003;4105,26;17000000,0;inf;inf;0;2;2,125669002532959;3,473083019256592;7;14
8;4;4;2;15;benders;7006334,69;4960,0;1374,69;7000000,0;inf;inf;0;2;0,40441441535949707;1,7550101280212402;4;5
9;4;4;2;15;benders;6006700,405;5568,335;1132,07;6000000,0;inf;inf;0;2;0,4277050495147705;1,7684690952301025;5;4
10;4;4;2;15;benders;8012485,929;10601,669000000002;1884,26;8000000,0;inf;inf;0;2;0,6029777526855469;1,9397895336151123;6;6
11;4;4;2;15;benders;7008596,052;7210,002000000001;1386,05;7000000,0;inf;inf;0;2;0,6803736686706543;2,0299882888793945;4;5
12;4;4;2;15;benders;10028144,178;23973,34799999999;4170,83;10000000,0;inf;inf;None;3;1,2335407733917236;2,551945686340332;9;14
