seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;4;2;4;10;fix_work;5003268,09;2318,33;949,76;5000000,0;0,0;0,0;0,0;2;0,014245986938476562;0,19228339195251465;3;4
1;4;2;4;10;fix_work;4002040,064;1306,664;733,4000000000001;4000000,0;0,0;0,0;0,0;2;0,010753870010375977;0,17392826080322266;2;3
2;4;2;4;10;fix_work;9007548,859;5441,6590000000015;2107,2;9000000,0;2,0678712692963888e-16;1,8626451492309566e-09;0,0;2;0,018270015716552734;0,21588873863220215;4;7
3;4;2;4;10;fix_work;10013233,486;10963,326000000005;2270,16;10000000,0;3,720366956059127e-16;3,725290298461914e-09;0,0;2;0,007420063018798828;0,1680905818939209;5;9
4;4;2;4;10;fix_work;10014156,736;11323,325999999997;2833,41;10000000,0;0,0;0,0;0,0;2;0,00797581672668457;0,17066287994384766;5;9
5;4;2;4;10;fix_work;8007309,393;6114,9929999999995;1194,4;8000000,0;1,1630905325447296e-16;9,313225746154785e-10;0,0;2;0,010403156280517578;0,17314600944519043;3;6
6;4;2;4;10;fix_work;9007020,232;5181,662;1838,57;9000000,0;0,0;0,0;0,0;2;0,010781049728393555;0,20545434951782227;3;6
7;4;2;4;10;fix_work;12009856,93;7671,67;2185,26;12000000,0;0,0;0,0;0,0;2;0,006345033645629883;0,16748809814453125;3;9
8;4;2;4;10;fix_work;9006649,69;4995,0;1654,69;9000000,0;0,0;0,0;0,0;2;0,010087966918945312;0,17060422897338867;3;6
9;4;2;4;10;fix_work;11008540,4;6178,329999999998;2362,0699999999997;11000000,0;0,0;0,0;0,0;2;0,011725902557373047;0,17647886276245117;5;8
10;4;2;4;10;fix_work;6004744,26;3429,9999999999995;1314,26;6000000,0;0,0;0,0;0,0;2;0,009992122650146484;0,20555543899536133;3;4
11;4;2;4;10;fix_work;6004451,05;3385,0;1066,05;6000000,0;0,0;0,0;0,0;2;0,008871078491210938;0,17017197608947754;3;4
12;4;2;4;10;fix_work;9012337,496;10026,666000000003;2310,83;9000000,0;0,0;0,0;0,0;2;0,007296085357666016;0,1685779094696045;5;9
13;4;2;4;10;fix_work;9009148,878;7623,338;1525,54;9000000,0;2,0675040166995862e-16;1,862645149230957e-09;0,0;2;0,011140108108520508;0,1729891300201416;4;6
14;4;2;4;10;fix_work;7008576,128;6873,338;1702,79;7000000,0;2,657665573167556e-16;1,862645149230957e-09;0,0;2;0,01104283332824707;0,22312474250793457;5;6
15;4;2;4;10;fix_work;None;None;None;None;None;None;None;3;0,0014469623565673828;0,15583133697509766;None;None
16;4;2;4;10;fix_work;10010989,657;8074,996999999997;2914,66;10000000,0;0,0;0,0;0,0;2;0,008665084838867188;0,17035698890686035;4;9
17;4;2;4;10;fix_work;8006015,601;4266,671;1748,93;8000000,0;0,0;0,0;0,0;2;0,011155128479003906;0,17345237731933594;3;6
18;4;2;4;10;fix_work;10008691,739;6671,669000000001;2020,07;10000000,0;0,0;0,0;0,0;2;0,008462905883789062;0,1720747947692871;4;7
19;4;2;4;10;fix_work;11011381,174;9241,663999999997;2139,51;11000000,0;0,0;0,0;0,0;2;0,017215967178344727;0,21571135520935059;4;8
20;4;2;4;10;fix_work;9009947,622;8409,991999999998;1537,63;9000000,0;4,1346414593639837e-16;3,7252902984619132e-09;0,0;2;0,010636091232299805;0,1731259822845459;4;7
21;4;2;4;10;fix_work;6007281,405;5961,665;1319,74;6000000,0;0,0;0,0;0,0;2;0,010220050811767578;0,1723926067352295;3;4
22;4;2;4;10;fix_work;5003731,69;3080,0;651,69;5000000,0;0,0;0,0;0,0;2;0,008743047714233398;0,1719355583190918;2;3
23;4;2;4;10;fix_work;7003243,46;2360,0;883,46;7000000,0;0,0;0,0;0,0;2;0,008630037307739258;0,2033250331878662;2;4
24;4;2;4;10;fix_work;7007791,996;6359,995999999999;1432,0;7000000,0;0,0;0,0;0,0;2;0,00956583023071289;0,1710350513458252;3;5
25;4;2;4;10;fix_work;7006534,02;4880,0;1654,02;7000000,0;0,0;0,0;0,0;2;0,010098934173583984;0,17221951484680176;3;5
26;4;2;4;10;fix_work;8007181,592;5830,0019999999995;1351,5900000000001;8000000,0;0,0;0,0;0,0;2;0,04210209846496582;0,20602130889892578;3;5
27;4;2;4;10;fix_work;8010503,467;8588,326999999996;1915,1399999999999;8000000,0;0,0;0,0;0,0;2;0,030148983001708984;0,22758889198303223;5;9
28;4;2;4;10;fix_work;None;None;None;None;None;None;None;3;0,0015180110931396484;0,15715265274047852;None;None
29;4;2;4;10;fix_work;6007392,754;6130,004;1262,75;6000000,0;0,0;0,0;0,0;2;0,009134054183959961;0,17232799530029297;3;5
30;4;2;4;10;fix_work;7004258,83;2750,0;1508,83;7000000,0;0,0;0,0;0,0;2;0,008529901504516602;0,17207598686218262;2;4
31;4;2;4;10;fix_work;9006042,21;4665,0;1377,21;9000000,0;0,0;0,0;0,0;2;0,015242815017700195;0,2113797664642334;3;6
32;4;2;4;10;fix_work;11012101,776;9979,996000000003;2121,7799999999997;11000000,0;1,6914529007445645e-16;1,862645149230957e-09;0,0;2;0,007841825485229492;0,17000484466552734;4;9
33;4;2;4;10;fix_work;6004904,7;3695,0;1209,7;6000000,0;1,550936478001855e-16;9,313225746154785e-10;0,0;2;0,008182048797607422;0,16934657096862793;2;4
34;4;2;4;10;fix_work;8007631,039;6513,329;1117,71;8000000,0;0,0;0,0;0,0;2;0,04159808158874512;0,2055356502532959;4;6
35;4;2;4;10;fix_work;8009258,272;7226,661999999998;2031,6100000000001;8000000,0;0,0;0,0;0,0;2;0,011046171188354492;0,1743166446685791;3;6
36;4;2;4;10;fix_work;5003715,7;2630,0;1085,7;5000000,0;1,8612619710098207e-16;9,313225746154785e-10;0,0;2;0,009523868560791016;0,20630860328674316;2;3
37;4;2;4;10;fix_work;6003822,23;2763,33;1058,9;6000000,0;0,0;0,0;0,0;2;0,00804281234741211;0,1693723201751709;2;4
38;4;2;4;10;fix_work;11009681,947;7784,996999999997;1896,95;11000000,0;3,383649333736665e-16;3,725290298461914e-09;0,0;2;0,009943008422851562;0,17293238639831543;3;8
39;4;2;4;10;fix_work;10007519,38;5720,0;1799,38;10000000,0;1,861245607931021e-16;1,8626451492309574e-09;0,0;2;0,009671926498413086;0,17444729804992676;3;7
40;4;2;4;10;fix_work;8006051,54;4350,0;1701,54;8000000,0;1,163273268929616e-16;9,313225746154785e-10;0,0;2;0,008998870849609375;0,21545672416687012;3;5
41;4;2;4;10;fix_work;10007226,844;5116,664;2110,1800000000003;10000000,0;0,0;0,0;0,0;2;0,012307167053222656;0,1738142967224121;3;7
42;4;2;4;10;fix_work;9010281,586;8346,676000000001;1934,91;9000000,0;0,0;0,0;0,0;2;0,008243799209594727;0,17053699493408203;5;9
43;4;2;4;10;fix_work;9011621,353;9378,343;2243,01;9000000,0;2,0669367656141876e-16;1,8626451492309568e-09;0,0;2;0,008460044860839844;0,17155718803405762;5;9
44;4;2;4;10;fix_work;5003966,97;2830,0;1136,97;5000000,0;1,8611685093026874e-16;9,313225746154785e-10;0,0;2;0,01019287109375;0,20611023902893066;2;3
45;4;2;4;10;fix_work;5003921,136;2883,336;1037,8;5000000,0;0,0;0,0;0,0;2;0,006803035736083984;0,16832566261291504;2;3
46;4;2;4;10;fix_work;9011746,77;9999,999999999996;1746,77;9000000,0;0,0;0,0;0,0;2;0,008723974227905273;0,16980409622192383;3;7
47;4;2;4;10;fix_work;12013781,024;11408,324;2372,7;12000000,0;7,752118777219012e-16;9,313225746154785e-09;0,0;2;0,0068399906158447266;0,17026019096374512;4;9
48;4;2;4;10;fix_work;11009460,159;7516,658999999997;1943,5;11000000,0;0,0;0,0;0,0;2;0,007842063903808594;0,2027292251586914;5;7
49;4;2;4;10;fix_work;9009440,19;7520,000000000001;1920,19;9000000,0;0,0;0,0;0,0;2;0,012727975845336914;0,17580342292785645;5;7
50;4;2;4;10;fix_work;11013695,58;11416,66;2278,92;11000000,0;0,0;0,0;0,0;2;0,008046865463256836;0,17068195343017578;5;9
51;4;2;4;10;fix_work;10014491,814;11856,664000000004;2635,15;10000000,0;0,0;0,0;0,0;2;0,009463071823120117;0,1718306541442871;6;9
52;4;2;4;10;fix_work;7006994,618;5709,9980000000005;1284,62;7000000,0;0,0;0,0;0,0;2;0,010004043579101562;0,20577311515808105;3;5
53;4;2;4;10;fix_work;6005634,327;4414,997000000001;1219,33;6000000,0;0,0;0,0;0,0;2;0,010930061340332031;0,17271947860717773;3;4
54;4;2;4;10;fix_work;9008830,704;7116,663999999999;1714,04;9000000,0;0,0;0,0;0,0;2;0,010732889175415039;0,17170929908752441;3;7
55;4;2;4;10;fix_work;7003051,955;2003,3349999999996;1048,62;7000000,0;0,0;0,0;0,0;2;0,008134841918945312;0,170729398727417;2;4
