seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;4;2;2;10;gcg_scip;5004879,757;3929,9969999999994;949,76;5000000,0;0,0;0,0;0,0;2;18,43;19,065857410430908;4;4
1;4;2;2;10;gcg_scip;4003410,062;2676,6620000000003;733,4000000000001;4000000,0;0,0;0,0;0,0;2;14,82;15,250444889068604;2;3
2;4;2;2;10;gcg_scip;9007698,859;5591,6590000000015;2107,2;9000000,0;0,0;0,0;0,0;2;68,63;69,12253832817078;4;7
3;4;2;2;10;gcg_scip;11012220,154;9949,994000000002;2270,16;11000000,0;0,0;0,0;0,0;2;4,39;4,850683689117432;4;9
4;4;2;2;10;gcg_scip;10015140,07;12306,66;2833,41;10000000,0;0,0;0,0;0,0;2;3,76;4,179714918136597;5;9
5;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;22,302555561065674;None;None
6;4;2;2;10;gcg_scip;9007020,232;5181,662;1838,57;9000000,0;0,0;0,0;0,0;2;30,86;31,348512887954712;3;6
7;4;2;2;10;gcg_scip;12010581,93;8396,67;2185,26;12000000,0;0,0;0,0;0,0;2;0,87;1,3271336555480957;4;9
8;4;2;2;10;gcg_scip;12009063,023;6548,333000000003;2514,69;12000000,0;0,0;0,0;0,0;2;35,43;35,858121395111084;3;9
9;4;2;2;10;gcg_scip;12007478,73;4736,66;2742,0699999999997;12000000,0;0,0;0,0;0,0;2;22,38;22,836047410964966;4;9
10;4;2;2;10;gcg_scip;6005952,595;4638,334999999999;1314,26;6000000,0;0,0;0,0;0,0;2;9,7;10,14561915397644;3;4
11;4;2;2;10;gcg_scip;7003957,717;2571,6669999999995;1386,05;7000000,0;0,0;0,0;0,0;2;36,13;36,547969341278076;2;5
12;4;2;2;10;gcg_scip;11011607,5;9296,670000000004;2310,83;11000000,0;0,0;0,0;0,0;2;3,56;3,9766108989715576;4;9
13;4;2;2;10;gcg_scip;9009148,878;7623,338;1525,54;9000000,0;0,0;0,0;0,0;2;10,53;11,278344631195068;4;6
14;4;2;2;10;gcg_scip;8009162,79;6250,0;2912,79;8000000,0;0,0;0,0;0,0;2;8,29;8,809984922409058;4;9
15;4;2;2;10;gcg_scip;None;None;None;None;0,0;None;None;3;0,93;1,3413903713226318;None;None
16;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;19,80925703048706;None;None
17;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;85,56667757034302;None;None
18;4;2;2;10;gcg_scip;10008763,406;6743,336000000001;2020,07;10000000,0;0,0;0,0;0,0;2;20,41;20,873172521591187;4;7
19;4;2;2;10;gcg_scip;11011424,507;9284,996999999998;2139,51;11000000,0;0,0;0,0;0,0;2;72,39;72,82807946205139;4;8
20;4;2;2;10;gcg_scip;10012015,955;10258,325;1757,63;10000000,0;0,0;0,0;0,0;2;44,08;44,511019229888916;5;8
21;4;2;2;10;gcg_scip;7008334,738;6804,998;1529,74;7000000,0;0,0;0,0;0,0;2;21,18;21,6404926776886;3;5
22;4;2;2;10;gcg_scip;5005126,69;4475,0;651,69;5000000,0;0,0;0,0;3,9968e-15;2;5,72;6,1777870655059814;2;3
23;4;2;2;10;gcg_scip;7003243,46;2360,0;883,46;7000000,0;0,0;0,0;0,0;2;25,41;25,854631900787354;2;4
24;4;2;2;10;gcg_scip;7008165,329;6733,328999999999;1432,0;7000000,0;0,0;0,0;0,0;2;33,53;33,96809935569763;3;5
25;4;2;2;10;gcg_scip;7008037,351;6383,331;1654,02;7000000,0;0,0;0,0;0,0;2;55,27;55,70377278327942;4;5
26;4;2;2;10;gcg_scip;8007928,259;6576,669;1351,5900000000001;8000000,0;0,0;0,0;0,0;2;129,52;129,9624981880188;3;5
27;4;2;2;10;gcg_scip;8010755,14;8840,000000000004;1915,1399999999999;8000000,0;0,0;0,0;0,0;2;38,69;39,13460302352905;5;9
28;4;2;2;10;gcg_scip;None;None;None;None;0,0;None;None;3;1,32;1,7520723342895508;None;None
29;4;2;2;10;gcg_scip;8008112,75;5879,999999999998;2232,75;8000000,0;0,0;0,0;0,0;2;21,72;22,193016529083252;3;9
30;4;2;2;10;gcg_scip;7004738,83;3230,0;1508,83;7000000,0;0,0;0,0;0,0;2;14,42;14,859383583068848;2;4
31;4;2;2;10;gcg_scip;9006042,21;4665,0;1377,21;9000000,0;0,0;0,0;0,0;2;33,14;33,557056188583374;3;6
32;4;2;2;10;gcg_scip;11014148,44;12026,660000000003;2121,7799999999997;11000000,0;0,0;0,0;0,0;2;4,72;5,142996549606323;5;9
33;4;2;2;10;gcg_scip;7004904,7;3695,0;1209,7;7000000,0;0,0;0,0;0,0;2;16,33;16,798086643218994;2;4
34;4;2;2;10;gcg_scip;9008509,372;7121,662;1387,71;9000000,0;0,0;0,0;0,0;2;48,2;48,658313274383545;4;7
35;4;2;2;10;gcg_scip;8009883,27;7851,659999999998;2031,6100000000001;8000000,0;0,0;0,0;0,0;2;62,31;62,76579761505127;4;6
36;4;2;2;10;gcg_scip;5003715,7;2630,0;1085,7;5000000,0;0,0;0,0;0,0;2;11,15;11,59925365447998;2;3
37;4;2;2;10;gcg_scip;8007010,565;5791,664999999999;1218,9;8000000,0;0,0;0,0;0,0;2;14,59;15,005116701126099;3;5
38;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;11,151140451431274;None;None
39;4;2;2;10;gcg_scip;10008006,046;6206,666000000001;1799,38;10000000,0;0,0;0,0;0,0;2;41,22;41,65929865837097;3;7
40;4;2;2;10;gcg_scip;8006069,873;4368,333;1701,54;8000000,0;0,0;0,0;0,0;2;71,12;71,56244206428528;3;5
41;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;68,71890377998352;None;None
42;4;2;2;10;gcg_scip;9011318,256;9383,346000000001;1934,91;9000000,0;0,0;0,0;0,0;2;0,62;1,0620248317718506;6;9
43;4;2;2;10;gcg_scip;9011873,02;9630,010000000002;2243,01;9000000,0;0,0;0,0;0,0;2;3,88;4,308078765869141;5;9
44;4;2;2;10;gcg_scip;5004946,971;3810,0009999999997;1136,97;5000000,0;0,0;0,0;0,0;2;13,48;13,90394639968872;2;3
45;4;2;2;10;gcg_scip;5004321,136;3283,336;1037,8;5000000,0;0,0;0,0;0,0;2;16,01;16,447192192077637;2;3
46;4;2;2;10;gcg_scip;11012853,437;10566,666999999998;2286,77;11000000,0;0,0;0,0;0,0;2;8,83;9,24635100364685;3;9
47;4;2;2;10;gcg_scip;12014259,357;11886,657;2372,7;12000000,0;0,0;0,0;0,0;2;2,81;3,2345221042633057;4;9
48;4;2;2;10;gcg_scip;12009368,491;7174,990999999997;2193,5;12000000,0;0,0;0,0;0,0;2;136,39;136,83267188072205;4;8
49;4;2;2;10;gcg_scip;9010873,521;8953,331000000002;1920,19;9000000,0;0,0;0,0;0,0;2;35,92;36,341073513031006;5;7
50;4;2;2;10;gcg_scip;11014665,58;12386,660000000002;2278,92;11000000,0;0,0;0,0;0,0;2;12,49;12,919905185699463;5;9
51;4;2;2;10;gcg_scip;11013460,15;10824,999999999998;2635,15;11000000,0;0,0;0,0;0,0;2;13,09;13,545436382293701;5;9
52;4;2;2;10;gcg_scip;8008177,951;6613,330999999999;1564,62;8000000,0;0,0;0,0;0,0;2;51,11;51,5375189781189;3;6
53;4;2;2;10;gcg_scip;6006130,993;4911,6630000000005;1219,33;6000000,0;0,0;0,0;0,0;2;21,63;22,1007297039032;3;4
54;4;2;2;10;gcg_scip;9009757,374;8043,333999999999;1714,04;9000000,0;0,0;0,0;0,0;2;16,13;16,57437491416931;4;7
55;4;2;2;10;gcg_scip;7003051,955;2003,3349999999996;1048,62;7000000,0;0,0;0,0;0,0;2;16,1;16,532150983810425;2;4
56;4;2;2;10;gcg_scip;8007685,171;5848,330999999999;1836,8400000000001;8000000,0;0,0;0,0;0,0;2;52,07;52,51863408088684;3;6
57;4;2;2;10;gcg_scip;11011110,8;8803,33;2307,4700000000003;11000000,0;0,0;0,0;0,0;2;10,79;11,230340003967285;4;9
58;4;2;2;10;gcg_scip;9010978,015;8894,994999999999;2083,02;9000000,0;0,0;0,0;0,0;2;42,21;42,62469959259033;4;7
59;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;27,46881628036499;None;None
60;4;2;2;10;gcg_scip;11012600,16;10079,99;2520,17;11000000,0;0,0;0,0;0,0;2;10,97;11,418576955795288;5;9
61;4;2;2;10;gcg_scip;6005543,221;3908,330999999999;1634,8899999999999;6000000,0;0,0;0,0;0,0;2;14,6;15,04204797744751;3;4
62;4;2;2;10;gcg_scip;3003206,749;2639,9990000000003;566,75;3000000,0;0,0;0,0;0,0;2;0,31;0,7259340286254883;2;2
63;4;2;2;10;gcg_scip;3003399,121;2788,331;610,79;3000000,0;0,0;0,0;0,0;2;9,56;9,975768089294434;2;2
64;4;2;2;10;gcg_scip;11013909,156;11313,336;2595,8199999999997;11000000,0;0,0;0,0;0,0;2;7,83;8,245270013809204;5;9
65;4;2;2;10;gcg_scip;8007773,732;6170,002;1603,73;8000000,0;0,0;0,0;0,0;2;21,21;21,65997290611267;3;5
66;4;2;2;10;gcg_scip;6006247,53;5066,67;1180,8600000000001;6000000,0;0,0;0,0;0,0;2;12,8;13,239078044891357;3;4
67;4;2;2;10;gcg_scip;9005809,17;4250,0;1559,17;9000000,0;0,0;0,0;0,0;2;52,93;53,39705562591553;3;6
68;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;13,596771001815796;None;None
69;4;2;2;10;gcg_scip;11008752,59;6393,340000000001;2359,25;11000000,0;0,0;0,0;0,0;2;3,17;3,593916416168213;3;9
70;4;2;2;10;gcg_scip;10007232,167;5306,667;1925,5;10000000,0;0,0;0,0;0,0;2;11,52;11,940114736557007;3;7
71;4;2;2;10;gcg_scip;7004432,12;3214,9999999999995;1217,12;7000000,0;0,0;0,0;0,0;2;12,42;12,847128868103027;2;4
72;4;2;2;10;gcg_scip;8006066,346;5104,995999999999;961,35;8000000,0;0,0;0,0;0,0;2;48,8;49,24524998664856;3;4
73;4;2;2;10;gcg_scip;8004011,868;2623,3280000000004;1388,54;8000000,0;0,0;0,0;0,0;2;32,32;32,76355338096619;2;5
74;4;2;2;10;gcg_scip;9004290,436;3189,996;1100,44;9000000,0;0,0;0,0;0,0;2;44,77;45,225037813186646;2;5
75;4;2;2;10;gcg_scip;7008125,456;6751,666000000001;1373,79;7000000,0;0,0;0,0;0,0;2;26,72;27,14611268043518;3;5
76;4;2;2;10;gcg_scip;7010020,506;9068,335999999996;952,1700000000001;7000000,0;0,0;0,0;0,0;2;54,0;54,47297120094299;3;5
77;4;2;2;10;gcg_scip;9010388,813;8844,992999999999;1543,82;9000000,0;0,0;0,0;0,0;2;38,75;39,17509484291077;4;6
78;4;2;2;10;gcg_scip;8007787,973;6608,333;1179,6399999999999;8000000,0;0,0;0,0;0,0;2;19,2;19,627552270889282;3;5
79;4;2;2;10;gcg_scip;5003686,798;2656,668;1030,13;5000000,0;0,0;0,0;0,0;2;17,7;18,142897129058838;2;3
80;4;2;2;10;gcg_scip;5004027,714;3293,334;734,38;5000000,0;0,0;0,0;0,0;2;11,79;12,210142374038696;2;3
81;4;2;2;10;gcg_scip;8008051,084;6700,004000000001;1351,08;8000000,0;0,0;0,0;0,0;2;17,16;17,59238338470459;3;5
82;4;2;2;10;gcg_scip;8005425,054;4550,004;875,05;8000000,0;0,0;0,0;0,0;2;21,04;21,46079683303833;2;5
83;4;2;2;10;gcg_scip;9009589,747;7808,336999999999;1781,41;9000000,0;0,0;0,0;0,0;2;42,71;43,180131673812866;4;7
84;4;2;2;10;gcg_scip;None;None;None;None;None;None;None;3;None;99,05871796607971;None;None
85;4;2;2;10;gcg_scip;7009275,739;7671,669000000003;1604,07;7000000,0;0,0;0,0;0,0;2;42,04;42,4769082069397;4;6
86;4;2;2;10;gcg_scip;3002740,522;2130,002;610,52;3000000,0;0,0;0,0;0,0;2;8,9;9,32552695274353;2;2
87;4;2;2;10;gcg_scip;7003084,586;2133,3360000000002;951,25;7000000,0;0,0;0,0;0,0;2;34,25;34,6887469291687;2;4
88;4;2;2;10;gcg_scip;7004617,843;3678,3329999999996;939,51;7000000,0;0,0;0,0;0,0;2;10,61;12,691884994506836;3;4
89;4;2;2;10;gcg_scip;5003099,94;2050,0;1049,94;5000000,0;0,0;0,0;0,0;2;10,93;11,87057113647461;2;3
90;4;2;2;10;gcg_scip;5003467,28;2616,6699999999996;850,61;5000000,0;0,0;0,0;0,0;2;12,11;12,536306381225586;2;3
91;4;2;2;10;gcg_scip;5005386,868;4456,668;930,2;5000000,0;0,0;0,0;0,0;2;8,86;9,281134843826294;3;3
92;4;2;2;10;gcg_scip;11009903,853;8006,673;1897,18;11000000,0;0,0;0,0;0,0;2;16,16;16,590605974197388;4;9
93;4;2;2;10;gcg_scip;9005932,939;4761,669;1171,27;9000000,0;0,0;0,0;0,0;2;18,06;18,482095956802368;3;6
94;4;2;2;10;gcg_scip;7003955,545;2781,665;1173,88;7000000,0;0,0;0,0;0,0;2;9,02;9,444215059280396;2;4
95;4;2;2;10;gcg_scip;8005192,43;3836,67;1355,76;8000000,0;0,0;0,0;0,0;2;40,04;40,47316098213196;2;5
96;4;2;2;10;gcg_scip;8006546,276;5503,335999999999;1042,94;8000000,0;0,0;0,0;0,0;2;26,78;27,199604988098145;3;5
97;4;2;2;10;gcg_scip;7005467,39;4120,0;1347,3899999999999;7000000,0;0,0;0,0;0,0;2;30,34;30,76169776916504;3;5
98;4;2;2;10;gcg_scip;6005644,785;4538,334999999999;1106,45;6000000,0;0,0;0,0;0,0;2;24,22;24,662605047225952;3;4
99;4;2;2;10;gcg_scip;7007912,795;6078,334999999999;1834,46;7000000,0;0,0;0,0;0,0;2;37,37;37,797553062438965;3;5
