seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;4;2;4;15;original;5003268,09;2318,33;949,76;5000000,0;0,0;0,0;0,0;2;0,24488115310668945;0,4355485439300537;3;4
1;4;2;4;15;original;4002040,064;1306,664;733,4000000000001;4000000,0;0,0;0,0;0,0;2;0,1686699390411377;0,343874454498291;2;3
2;4;2;4;15;original;10012247,189;9149,988999999998;3097,2;10000000,0;1,8603667229444357e-16;1,8626451492309568e-09;0,0;2;2,312295913696289;2,4909071922302246;5;10
3;4;2;4;15;original;10020871,811;16941,651000000013;3930,16;10000000,0;1,8587655688662885e-16;1,862645149230957e-09;0,0;2;2,363024950027466;2,5414278507232666;6;14
4;4;2;4;15;original;10019043,4;14539,990000000005;4503,41;10000000,0;1,8591047816311055e-16;1,8626451492309568e-09;0,0;2;0,6675319671630859;0,9226031303405762;5;14
5;4;2;4;15;original;10013416,056;10231,655999999997;3184,4;10000000,0;0,0;0,0;7,149836278586008e-14;2;0,6524171829223633;0,8277120590209961;4;12
6;4;2;4;15;original;9007020,232;5181,662;1838,57;9000000,0;0,0;0,0;0,0;2;0,20101404190063477;0,37486696243286133;3;6
7;4;2;4;15;original;15017455,259;13349,999000000002;4105,26;15000000,0;0,0;0,0;0,0;2;0,9708120822906494;1,145524024963379;7;14
8;4;2;4;15;original;12010238,02;7723,330000000004;2514,69;12000000,0;0,0;0,0;0,0;2;0,5479671955108643;0,7257728576660156;4;9
9;4;2;4;15;original;15016237,061;11394,990999999998;4842,07;15000000,0;0,0;0,0;0,0;2;0,8212368488311768;0,9972410202026367;7;14
10;4;2;4;15;original;6004744,26;3429,9999999999995;1314,26;6000000,0;0,0;0,0;0,0;2;0,2616140842437744;0,4367210865020752;3;4
11;4;2;4;15;original;6004451,05;3385,0;1066,05;6000000,0;0,0;0,0;0,0;2;0,2725028991699219;0,448361873626709;3;4
12;4;2;4;15;original;None;None;None;None;None;None;None;3;0,8113498687744141;1,0395455360412598;None;None
13;4;2;4;15;original;10020520,549;16615,00900000001;3905,54;10000000,0;0,0;0,0;0,0;2;1,4398071765899658;1,6240699291229248;7;14
14;4;2;4;15;original;8016661,122;11738,332000000004;4922,79;8000000,0;0,0;0,0;0,0;2;0,6235899925231934;0,8060176372528076;6;14
15;4;2;4;15;original;8017303,089;12493,328999999996;4809,76;8000000,0;0,0;0,0;0,0;2;0,4475719928741455;0,6262154579162598;6;14
16;4;2;4;15;original;10014471,326;10956,666000000001;3514,66;10000000,0;3,719907099629069e-16;3,7252902984619136e-09;0,0;2;0,5489511489868164;0,7293009757995605;5;11
17;4;2;4;15;original;8006217,268;4468,338;1748,93;8000000,0;0,0;0,0;0,0;2;0,6772730350494385;0,861640453338623;3;6
18;4;2;4;15;original;10008691,739;6671,669000000001;2020,07;10000000,0;0,0;0,0;0,0;2;0,19733715057373047;0,3723256587982178;4;7
19;4;2;4;15;original;11011381,174;9241,663999999997;2139,51;11000000,0;0,0;0,0;0,0;2;0,6828620433807373;0,858863353729248;4;8
20;4;2;4;15;original;11014175,953;11868,322999999999;2307,63;11000000,0;0,0;0,0;0,0;2;1,0026609897613525;1,260528802871704;6;10
21;4;2;4;15;original;6007281,405;5961,665;1319,74;6000000,0;0,0;0,0;0,0;2;0,18256092071533203;0,3573300838470459;3;4
22;4;2;4;15;original;5003731,69;3080,0;651,69;5000000,0;0,0;0,0;0,0;2;0,18350005149841309;0,35969972610473633;2;3
23;4;2;4;15;original;7003243,46;2360,0;883,46;7000000,0;0,0;0,0;0,0;2;0,18579888343811035;0,361957311630249;2;4
24;4;2;4;15;original;7007791,996;6359,995999999999;1432,0;7000000,0;1,328981475402054e-16;9,313225746154785e-10;0,0;2;0,7640058994293213;0,9410333633422852;3;5
25;4;2;4;15;original;7006534,02;4880,0;1654,02;7000000,0;0,0;0,0;0,0;2;0,8913979530334473;1,075963020324707;3;5
26;4;2;4;15;original;8007181,592;5830,0019999999995;1351,5900000000001;8000000,0;0,0;0,0;0,0;2;0,5579171180725098;0,7414295673370361;3;5
27;4;2;4;15;original;8016611,803;14506,663000000011;2105,14;8000000,0;0,0;0,0;0,0;2;1,6408419609069824;1,8263912200927734;6;10
28;4;2;4;15;original;8019084,13;15108,330000000004;3975,8;8000000,0;0,0;0,0;0,0;2;1,580185890197754;1,8213238716125488;7;14
29;4;2;4;15;original;6007392,754;6130,004;1262,75;6000000,0;0,0;0,0;0,0;2;0,2477281093597412;0,4230618476867676;3;5
30;4;2;4;15;original;7004257,992199905;2750,0;1508,83;6999999,162199905;5,000010137059992e-11;0,0003502136096358299;8,37800095197861e-07;2;0,3065018653869629;0,4823033809661865;2;4
31;4;2;4;15;original;9006612,21;5235,0;1377,21;9000000,0;0,0;0,0;0,0;2;0,671558141708374;0,8536698818206787;3;6
32;4;2;4;15;original;11012101,776;9979,996000000003;2121,7799999999997;11000000,0;0,0;0,0;0,0;2;0,682581901550293;0,8661279678344727;4;9
33;4;2;4;15;original;6004904,7;3695,0;1209,7;6000000,0;0,0;0,0;0,0;2;0,1938028335571289;0,36998844146728516;2;4
34;4;2;4;15;original;10013311,036;11213,326000000001;2097,71;10000000,0;0,0;0,0;0,0;2;0,443464994430542;0,6217141151428223;5;10
35;4;2;4;15;original;9011781,602;9279,991999999997;2501,61;9000000,0;0,0;0,0;0,0;2;1,6716539859771729;1,8482115268707275;4;7
36;4;2;4;15;original;5003715,7;2630,0;1085,7;5000000,0;0,0;0,0;0,0;2;0,1644890308380127;0,41970181465148926;2;3
