seed;max_time;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;1200;40;40;40;100;fix_work;64055233,073;52193,31299999998;3039,76;64000000,0;0,0016183633641786745;103664,64248926938;0,0;2;1202,8922278881073;3351,3715982437134;30;12
1;1200;40;40;40;100;fix_work;153051356,718;48143,318000000014;3213,4;153000000,0;1,9472105982442648e-16;2,9802322387695312e-08;4,440892098500626e-16;2;901,1154341697693;2490,71524643898;30;12
2;1200;40;40;40;100;fix_work;66058563,854;54696,653999999995;3867,2;66000000,0;2,2557500987732046e-16;1,4901161193847655e-08;0,0;2;693,577155828476;2191,0183758735657;29;12
3;1200;40;40;40;100;fix_work;32075898,482;65128,32200000004;10770,16;32000000,0;0,1764538137821864;5659914,617639143;0,0;2;1200,0147948265076;2738,886971473694;25;27
4;1200;40;40;40;100;fix_work;33069301,739;59488,32900000008;9813,41;33000000,0;0,3335625362415856;11030680,159799118;0,0;2;1200,0157659053802;2670,8844797611237;23;24
5;1200;40;40;40;100;fix_work;19274031,101999998;265596,70199999807;8434,4;19000000,0;0,34949578227982747;6736192,577679214;0,0;2;1200,0390269756317;2731,889139890671;35;23
6;1200;40;40;40;100;fix_work;135056318,564;53019,994;3298,5699999999997;135000000,0;0,0;0,0;0,0;2;593,926637172699;2670,563335418701;31;11
7;1200;40;40;40;100;fix_work;120064860,27;61865,01000000003;2995,26;120000000,0;0,0;0,0;0,0;2;546,7106461524963;2266,3591001033783;34;11
8;1200;40;40;40;100;fix_work;450240854,795;152230,10500000019;88624,69;450000000,0;0,9615280437652372;432919208,3342246;0,0;2;1200,0197081565857;3263,562840938568;42;85
9;1200;40;40;40;100;fix_work;93049705,41;45873,34000000002;3832,0699999999997;93000000,0;1,6014194916780723e-16;1,4901161193847656e-08;0,0;2;588,4966020584106;2351,27813577652;25;12
