seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;5;5;5;20;original;10044385,23;22749,981;21635,25;10000000;0;0;0;2;30,20721245;30,71255398;10;16
0;5;5;5;20;benders;10044385,23;22749,981;21635,25;10000000;0;0;0;2;1,982784271;3,018533945;10;16
1;5;5;5;20;original;10036974,73;20486,642;16488,09;10000000;0;0;0;2;16,61926079;17,13925004;10;13
1;5;5;5;20;benders;10036974,73;20486,642;16488,09;10000000;0;0;0;2;1,598760605;2,89218998;10;13
2;5;5;5;20;original;15039585,61;21991,632;17593,98;15000000;4,78E-10;0,007187501;0;2;27,40822792;27,85725617;9;16
2;5;5;5;20;benders;15039585,61;21991,632;17593,98;15000000;0;0;0;2;2,153675079;3,446991682;9;16
3;5;5;5;20;original;15031006,51;14533,316;16473,19;15000000;1,66E-10;0,002499998;0;2;43,07816887;43,53391933;6;13
3;5;5;5;20;benders;15031006,51;14533,316;16473,19;15000000;2,48E-16;3,73E-09;0;2;1,748031616;2,818654776;6;13
4;5;5;5;20;original;15039073,1;17324,979;21748,12;15000000;1,87E-10;0,002812499;0;2;27,38910675;27,80730581;7;16
4;5;5;5;20;benders;15039073,1;17324,979;21748,12;15000000;0;0;0;2;1,344783783;2,359096527;7;16
5;5;5;5;20;original;15032462,96;16544,986;15917,97;15000000;1,91E-10;0,002875;0;2;26,06762695;26,61511374;7;14
5;5;5;5;20;benders;15032462,96;16544,986;15917,97;15000000;1,24E-16;1,86E-09;0;2;0,684906006;1,703969002;7;14
6;5;5;5;20;original;23042431,43;18749,99;23681,44;23000000;1,08E-10;0,002500001;0;2;18,76928902;19,21390557;9;17
6;5;5;5;20;benders;23042431,43;18749,99;23681,44;23000000;1,62E-16;3,73E-09;0;2;0,645570755;1,730291367;9;17
7;5;5;5;20;original;21037205,22;20839,993;16365,23;21000000;1,63E-10;0,0034375;0;2;11,19240189;11,60567284;10;14
7;5;5;5;20;benders;21037205,22;20839,993;16365,23;21000000;0;0;0;2;0,563266754;1,541302919;10;14
8;5;5;5;20;original;16041997,04;20823,322;21173,72;16000000;7,79E-11;0,001249999;0;2;41,41929054;41,98979712;10;16
8;5;5;5;20;benders;16041997,04;20823,322;21173,72;16000000;1,16E-16;1,86E-09;0;2;3,284515381;4,579557419;10;16
9;5;5;5;20;original;16043521,49;23599,994;19921,5;16000000;0;0;0;2;7,666501999;8,288870335;11;17
9;5;5;5;20;benders;16043521,49;23599,994;19921,5;16000000;0;0;0;2;0,628473282;1,577230453;11;17
10;5;5;5;20;original;16034735,28;16750;17985,28;16000000;0;0;0;2;13,25263023;13,87956047;8;13
10;5;5;5;20;benders;16034735,28;16750;17985,28;16000000;0;0;0;2;1,441364288;2,71158433;8;13
11;5;5;5;20;original;11027426,08;13894,996;13531,08;11000000;1,70E-10;0,001875;0;2;12,49632454;12,96958923;7;11
11;5;5;5;20;benders;11027426,08;13894,996;13531,08;11000000;0;0;0;2;1,199007034;2,194157362;7;11
12;5;5;5;20;original;11031051,65;15065;15986,65;11000000;1,42E-10;0,0015625;0;2;30,62162018;31,11701918;7;14
