seed;num_brigades;num_aircraft;num_machines;num_periods;mode;obj_fun;res_cost;wildfire_cost;resources_penalty;mipgap;mipgapabs;constrvio;status;solve_time;elapsed_time;selected_resources;contention_period
0;4;4;4;15;benders;5007471,422;6521,661999999999;949,76;5000000,0;inf;inf;0;2;1,3431944847106934;2,0981390476226807;6;4
1;4;4;4;15;benders;6009225,061;7891,661000000003;1333,4;6000000,0;inf;inf;0;2;3,250373363494873;3,903637647628784;5;5
2;4;4;4;15;benders;10020798,845;16241,645;4557,2;10000000,0;inf;inf;0;2;14,057661056518555;14,764392375946045;7;14
3;4;4;4;15;benders;10023010,146;20159,98600000001;2850,16;10000000,0;inf;inf;0;2;44,33120536804199;44,98612999916077;7;11
4;4;4;4;15;benders;10021215,066;16711,656000000003;4503,41;10000000,0;inf;inf;0;2;2,9052133560180664;3,7080647945404053;6;14
5;4;4;4;15;benders;10018559,391;14694,991;3864,4;10000000,0;inf;inf;0;2;5,264653205871582;5,863020896911621;5;14
6;4;4;4;15;benders;14018136,897;14838,326999999996;3298,5699999999997;14000000,0;inf;inf;0;2;2,4235587120056152;2,9552037715911865;6;11
7;4;4;4;15;benders;15021340,263;17235,003000000004;4105,26;15000000,0;inf;inf;0;2;6,186145544052124;6,762669801712036;8;14
8;4;4;4;15;benders;7006334,69;4960,0;1374,69;7000000,0;inf;inf;0;2;1,0455670356750488;1,577111005783081;4;5
9;4;4;4;15;benders;6006700,405;5568,335;1132,07;6000000,0;inf;inf;0;2;1,0960321426391602;1,843306303024292;5;4
10;4;4;4;15;benders;8012485,452766888;10601,669000000002;1884,26;7999999,523766888;inf;inf;4,7623311183464523e-07;2;1,5578670501708984;2,1612555980682373;6;6
11;4;4;4;15;benders;7008596,052;7210,002000000001;1386,05;7000000,0;inf;inf;0;2;1,2072203159332275;1,7747008800506592;4;5
12;4;4;4;15;benders;8024055,83;19884,999999999996;4170,83;8000000,0;inf;inf;12,290000000000049;3;2,183920383453369;2,7594106197357178;8;14
13;4;4;4;15;benders;8026252,206;22346,665999999997;3905,54;8000000,0;inf;inf;3,5599999999999596;3;3,586669921875;4,17908501625061;8;14
14;4;4;4;15;benders;8024356,126;19433,336000000007;4922,79;8000000,0;inf;inf;0;2;14,953235864639282;15,710208892822266;9;14
15;4;4;4;15;benders;8015756,426;11296,666000000003;4459,76;8000000,0;inf;inf;0;2;6,840698957443237;7,362368106842041;5;13
16;4;4;4;15;benders;10015327,996;11813,336000000008;3514,66;10000000,0;inf;inf;0;2;3,020179271697998;3,5318830013275146;5;11
17;4;4;4;15;benders;8013242,268;11493,338000000002;1748,93;8000000,0;inf;inf;0;2;1,5356159210205078;2,1529581546783447;5;6
18;4;4;4;15;benders;8014516,739;12716,668999999998;1800,07;8000000,0;inf;inf;0;2;1,3813045024871826;2,000649929046631;5;6
19;4;4;4;15;benders;7010619,512;9240,002;1379,51;7000000,0;inf;inf;0;2;1,0710749626159668;1,7097153663635254;4;5
20;4;4;4;15;benders;6006102,63;5355,0;747,63;6000000,0;inf;inf;0;2;1,3157429695129395;1,9111802577972412;3;4
21;4;4;4;15;benders;6006529,74;5210,0;1319,74;6000000,0;inf;inf;0;2;1,1738567352294922;1,6805057525634766;3;4
22;4;4;4;15;benders;6006295,025;5393,334999999999;901,69;6000000,0;inf;inf;0;2;1,8378007411956787;2,339420795440674;3;4
23;4;4;4;15;benders;6005045,125;4161,665;883,46;6000000,0;inf;inf;0;2;1,296320915222168;1,8309276103973389;3;4
